spec,category,last_modified,reason
adk-control-room,active,2026-02-13,modified_within_90_days
agents,active,2026-02-13,modified_within_90_days
auth,active,2026-02-13,modified_within_90_days
auto-claude-framework,active,2026-02-13,modified_within_90_days
azure-reference-architecture,active,2026-02-13,modified_within_90_days
bir-tax-compliance,active,2026-02-13,modified_within_90_days
cicd-supabase-n8n,active,2026-02-13,modified_within_90_days
close-orchestration,active,2026-02-13,modified_within_90_days
cloudflare-dns,active,2026-02-13,modified_within_90_days
continue-plus,active,2026-02-14,modified_within_90_days
control-room-api,active,2026-02-14,modified_within_90_days
docs-platform-sapgrade,active,2026-02-13,modified_within_90_days
enterprise-parity,active,2026-02-14,modified_within_90_days
erp-saas-clone-suite,active,2026-02-14,modified_within_90_days
expense-automation,active,2026-02-14,modified_within_90_days
figma-dev-plugins-reverse,active,2026-02-13,modified_within_90_days
hire-to-retire,active,2026-02-13,modified_within_90_days
insightpulse-docs-ai,active,2026-02-14,modified_within_90_days
insightpulse-mobile,active,2026-02-13,modified_within_90_days
ipai-ai-agent-builder,active,2026-02-13,modified_within_90_days
ipai-ai-platform-odoo18,active,2026-02-14,modified_within_90_days
ipai-ai-platform,active,2026-02-14,modified_within_90_days
ipai-control-center,active,2026-02-14,modified_within_90_days
ipai-copilot,active,2026-02-13,modified_within_90_days
ipai-data-connectors,active,2026-02-14,modified_within_90_days
ipai-databricks,active,2026-02-14,modified_within_90_days
ipai-enterprise-workbench,active,2026-02-14,modified_within_90_days
ipai-month-end,active,2026-02-13,modified_within_90_days
ipai-odoo-devops-agent,active,2026-02-14,modified_within_90_days
ipai-odoo-saas-platform,active,2026-02-14,modified_within_90_days
ipai-odoo18-enterprise-patch,active,2026-02-13,modified_within_90_days
ipai-saas-platform-kit,active,2026-02-14,modified_within_90_days
ipai-tbwa-finance,active,2026-02-13,modified_within_90_days
ipai_enterprise_bridge,active,2026-02-13,modified_within_90_days
kapa-plus,active,2026-02-13,modified_within_90_days
kapa-reverse,active,2026-02-13,modified_within_90_days
knowledge-graph,active,2026-02-14,modified_within_90_days
knowledge-hub,active,2026-02-13,modified_within_90_days
lakehouse-control-room,active,2026-02-13,modified_within_90_days
mappings,active,2026-02-13,modified_within_90_days
mobile,active,2026-02-14,modified_within_90_days
notion-finance-ppm-control-room,active,2026-02-14,modified_within_90_days
odoo-19-migration,active,2026-02-13,modified_within_90_days
odoo-alternatives,active,2026-02-13,modified_within_90_days
odoo-apps-inventory,active,2026-02-14,modified_within_90_days
odoo-ce-devops-master-plan,active,2026-02-13,modified_within_90_days
odoo-ce-enterprise-replacement,active,2026-02-13,modified_within_90_days
odoo-ce,active,2026-02-14,modified_within_90_days
odoo-copilot-process-mining,active,2026-02-13,modified_within_90_days
odoo-decoupled-platform,active,2026-02-14,modified_within_90_days
odoo-ee-parity-matrix,active,2026-02-13,modified_within_90_days
odoo-mcp-server,active,2026-02-14,modified_within_90_days
odoo-sh-next,active,2026-02-14,modified_within_90_days
odoo19-ee-surface-parity,active,2026-02-13,modified_within_90_days
odooops-browser-automation,active,2026-02-13,modified_within_90_days
odooops-console-auth,active,2026-02-13,modified_within_90_days
odooops-platform,active,2026-02-14,modified_within_90_days
odooops-ui-stack,active,2026-02-13,modified_within_90_days
ops-control-room,active,2026-02-14,modified_within_90_days
parallel-control-planes,active,2026-02-13,modified_within_90_days
parity-agent,active,2026-02-13,modified_within_90_days
parity,active,2026-02-14,modified_within_90_days
platform-kit,active,2026-02-14,modified_within_90_days
platforms,active,2026-02-13,modified_within_90_days
policy,active,2026-02-14,modified_within_90_days
project-ce,active,2026-02-13,modified_within_90_days
pulser-master-control,active,2026-02-13,modified_within_90_days
reverse-cursor-sovereign,active,2026-02-14,modified_within_90_days
schema,active,2026-02-13,modified_within_90_days
seed-bundle,active,2026-02-13,modified_within_90_days
supabase-platform-kit-observability,active,2026-02-14,modified_within_90_days
supabase-ssot-doctrine,active,2026-02-14,modified_within_90_days
taxonomy,active,2026-02-14,modified_within_90_days
test-coverage-improvement,active,2026-02-13,modified_within_90_days
upstream-parity,active,2026-02-14,modified_within_90_days
vercel-enterprise-plus,active,2026-02-13,modified_within_90_days
workos-notion-clone,active,2026-02-13,modified_within_90_days
