id,name,project_id/id,date_deadline,sequence
finance_seed.task_bir_1601c_jan,"1601-C — Jan 2026",finance_seed.project_bir_tax_filing,2026-02-10,1
finance_seed.task_bir_1601c_feb,"1601-C — Feb 2026",finance_seed.project_bir_tax_filing,2026-03-10,2
finance_seed.task_bir_1601c_mar,"1601-C — Mar 2026",finance_seed.project_bir_tax_filing,2026-04-10,3
finance_seed.task_bir_1601c_apr,"1601-C — Apr 2026",finance_seed.project_bir_tax_filing,2026-05-10,4
finance_seed.task_bir_1601c_may,"1601-C — May 2026",finance_seed.project_bir_tax_filing,2026-06-10,5
finance_seed.task_bir_1601c_jun,"1601-C — Jun 2026",finance_seed.project_bir_tax_filing,2026-07-10,6
finance_seed.task_bir_1601c_jul,"1601-C — Jul 2026",finance_seed.project_bir_tax_filing,2026-08-10,7
finance_seed.task_bir_1601c_aug,"1601-C — Aug 2026",finance_seed.project_bir_tax_filing,2026-09-10,8
finance_seed.task_bir_1601c_sep,"1601-C — Sep 2026",finance_seed.project_bir_tax_filing,2026-10-10,9
finance_seed.task_bir_1601c_oct,"1601-C — Oct 2026",finance_seed.project_bir_tax_filing,2026-11-10,10
finance_seed.task_bir_1601c_nov,"1601-C — Nov 2026",finance_seed.project_bir_tax_filing,2026-12-10,11
finance_seed.task_bir_1601c_dec,"1601-C — Dec 2026",finance_seed.project_bir_tax_filing,2027-01-10,12
finance_seed.task_bir_0619e_jan,"0619-E — Jan 2026",finance_seed.project_bir_tax_filing,2026-02-20,13
finance_seed.task_bir_0619e_feb,"0619-E — Feb 2026",finance_seed.project_bir_tax_filing,2026-03-20,14
finance_seed.task_bir_0619e_mar,"0619-E — Mar 2026",finance_seed.project_bir_tax_filing,2026-04-20,15
finance_seed.task_bir_0619e_apr,"0619-E — Apr 2026",finance_seed.project_bir_tax_filing,2026-05-20,16
finance_seed.task_bir_0619e_may,"0619-E — May 2026",finance_seed.project_bir_tax_filing,2026-06-20,17
finance_seed.task_bir_0619e_jun,"0619-E — Jun 2026",finance_seed.project_bir_tax_filing,2026-07-20,18
finance_seed.task_bir_0619e_jul,"0619-E — Jul 2026",finance_seed.project_bir_tax_filing,2026-08-20,19
finance_seed.task_bir_0619e_aug,"0619-E — Aug 2026",finance_seed.project_bir_tax_filing,2026-09-20,20
finance_seed.task_bir_0619e_sep,"0619-E — Sep 2026",finance_seed.project_bir_tax_filing,2026-10-20,21
finance_seed.task_bir_0619e_oct,"0619-E — Oct 2026",finance_seed.project_bir_tax_filing,2026-11-20,22
finance_seed.task_bir_0619e_nov,"0619-E — Nov 2026",finance_seed.project_bir_tax_filing,2026-12-20,23
finance_seed.task_bir_0619e_dec,"0619-E — Dec 2026",finance_seed.project_bir_tax_filing,2027-01-20,24
finance_seed.task_bir_2550q_q1,"2550Q — Q1 2026",finance_seed.project_bir_tax_filing,2026-04-25,25
finance_seed.task_bir_2550q_q2,"2550Q — Q2 2026",finance_seed.project_bir_tax_filing,2026-07-25,26
finance_seed.task_bir_2550q_q3,"2550Q — Q3 2026",finance_seed.project_bir_tax_filing,2026-10-25,27
finance_seed.task_bir_2550q_q4,"2550Q — Q4 2026",finance_seed.project_bir_tax_filing,2027-01-25,28
finance_seed.task_bir_1601eq_q1,"1601-EQ — Q1 2026",finance_seed.project_bir_tax_filing,2026-04-30,29
finance_seed.task_bir_1601eq_q2,"1601-EQ — Q2 2026",finance_seed.project_bir_tax_filing,2026-07-31,30
finance_seed.task_bir_1601eq_q3,"1601-EQ — Q3 2026",finance_seed.project_bir_tax_filing,2026-10-31,31
finance_seed.task_bir_1601eq_q4,"1601-EQ — Q4 2026",finance_seed.project_bir_tax_filing,2027-01-31,32
finance_seed.task_bir_1702rt_fy2025,"1702-RT — FY 2025",finance_seed.project_bir_tax_filing,2026-04-15,33
