module,app_label,classification,found_path,installable,upgradeable,oca_equivalents,oca_repos,oca_parity,notes
sale_management,sale_management,CE,/usr/lib/python3/dist-packages/odoo/addons/sale_management,Y,Unknown,,,,Odoo CE core module
pos_restaurant,pos_restaurant,CE,/usr/lib/python3/dist-packages/odoo/addons/pos_restaurant,Y,Unknown,,,,Odoo CE core module
account,account,CE,/usr/lib/python3/dist-packages/odoo/addons/account,Y,Unknown,,,,Odoo CE core module
ipai_workos_core,IPAI Work OS Core,custom,/home/user/odoo-ce/addons/ipai_workos_core,Y,Unknown,,,,Custom IPAI module
crm,crm,CE,/usr/lib/python3/dist-packages/odoo/addons/crm,Y,Unknown,,,,Odoo CE core module
mrp_workorder,mrp_workorder,enterprise-only,,Unknown,Unknown,mrp_multi_level;mrp_multi_level_estimate;mrp_production_request;mrp_workorder_sequence,OCA/manufacture,90%,"Enterprise-only module (not available in CE). OCA: Missing tablet view, but core functionality covered"
website,website,CE,/usr/lib/python3/dist-packages/odoo/addons/website,Y,Unknown,,,,Odoo CE core module
stock,stock,CE,/usr/lib/python3/dist-packages/odoo/addons/stock,Y,Unknown,,,,Odoo CE core module
accountant,accountant,enterprise-only,,Unknown,Unknown,account_financial_report;mis_builder;mis_builder_budget;account_asset_management;account_reconcile_oca,OCA/account-financial-reporting;OCA/mis-builder;OCA/account-financial-tools,95%,Enterprise-only module (not available in CE). OCA: Full replacement except for some automated entries
knowledge,knowledge,enterprise-only,,Unknown,Unknown,knowledge,OCA/knowledge,70%,"Enterprise-only module (not available in CE). OCA: Basic knowledge base, or use control_room.kb custom replacement"
purchase,purchase,CE,/usr/lib/python3/dist-packages/odoo/addons/purchase,Y,Unknown,,,,Odoo CE core module
point_of_sale,point_of_sale,CE,/usr/lib/python3/dist-packages/odoo/addons/point_of_sale,Y,Unknown,,,,Odoo CE core module
project,project,CE,/usr/lib/python3/dist-packages/odoo/addons/project,Y,Unknown,,,,Odoo CE core module
website_sale,website_sale,CE,/usr/lib/python3/dist-packages/odoo/addons/website_sale,Y,Unknown,,,,Odoo CE core module
mrp,mrp,CE,/usr/lib/python3/dist-packages/odoo/addons/mrp,Y,Unknown,,,,Odoo CE core module
mass_mailing,mass_mailing,CE,/usr/lib/python3/dist-packages/odoo/addons/mass_mailing,Y,Unknown,,,,Odoo CE core module
timesheet_grid,timesheet_grid,enterprise-only,,Unknown,Unknown,hr_timesheet_sheet;hr_timesheet_task_required;project_timesheet_time_control,OCA/timesheet;OCA/project,90%,"Enterprise-only module (not available in CE). OCA: Grid view via sheet, slightly different UX"
hr_expense,hr_expense,CE,/usr/lib/python3/dist-packages/odoo/addons/hr_expense,Y,Unknown,,,,Odoo CE core module
web_studio,web_studio,enterprise-only,,Unknown,Unknown,,,50%,Enterprise-only module (not available in CE). OCA: No direct OCA equivalent; use control_room.studio custom replacement
hr_holidays,hr_holidays,CE,/usr/lib/python3/dist-packages/odoo/addons/hr_holidays,Y,Unknown,,,,Odoo CE core module
hr_recruitment,hr_recruitment,CE,/usr/lib/python3/dist-packages/odoo/addons/hr_recruitment,Y,Unknown,,,,Odoo CE core module
industry_fsm,industry_fsm,enterprise-only,,Unknown,Unknown,fieldservice;fieldservice_project,OCA/field-service,80%,Enterprise-only module (not available in CE). OCA: OCA Field Service suite provides good coverage
hr,hr,CE,/usr/lib/python3/dist-packages/odoo/addons/hr,Y,Unknown,,,,Odoo CE core module
data_recycle,data_recycle,enterprise-only,,Unknown,Unknown,auto_backup;database_cleanup,OCA/server-tools,50%,Enterprise-only module (not available in CE). OCA: Different approach; cleanup vs recycle bin
ipai_bir_tax_compliance,IPAI BIR Tax Compliance,custom,/home/user/odoo-ce/addons/ipai_bir_tax_compliance,Y,Unknown,,,,Custom IPAI module
ipai_close_orchestration,IPAI Close Cycle Orchestration,custom,/home/user/odoo-ce/addons/ipai/ipai_close_orchestration,Y,Unknown,,,,Custom IPAI module
ipai_finance_ppm,IPAI Finance PPM,custom,/home/user/odoo-ce/addons/ipai/ipai_finance_ppm,Y,Unknown,,,,Custom IPAI module
ipai_finance_ppm_golive,Finance PPM Go-Live Checklist,custom,/home/user/odoo-ce/addons/ipai_finance_ppm_golive,Y,Unknown,,,,Custom IPAI module
ipai_month_end,IPAI Month-End Closing,custom,/home/user/odoo-ce/addons/ipai_month_end,Y,Unknown,,,,Custom IPAI module
ipai_ppm_a1,IPAI PPM A1 Control Center,custom,/home/user/odoo-ce/addons/ipai/ipai_ppm_a1,Y,Unknown,,,,Custom IPAI module
ipai_superset_connector,IPAI Superset Connector,custom,/home/user/odoo-ce/addons/ipai_superset_connector,Y,Unknown,,,,Custom IPAI module
ipai_tbwa_finance,IPAI TBWA Finance,custom,/home/user/odoo-ce/addons/ipai_tbwa_finance,Y,Unknown,,,,Custom IPAI module
maintenance,maintenance,CE,/usr/lib/python3/dist-packages/odoo/addons/maintenance,Y,Unknown,,,,Odoo CE core module
marketing_card,marketing_card,enterprise-only,,Unknown,Unknown,,,0%,Enterprise-only module (not available in CE). OCA: No OCA equivalent; Enterprise-specific feature
sign,sign,enterprise-only,,Unknown,Unknown,,,60%,Enterprise-only module (not available in CE). OCA: No direct OCA equivalent; use control_room.sign with DocuSign integration
helpdesk,helpdesk,enterprise-only,,Unknown,Unknown,helpdesk_mgmt;helpdesk_mgmt_timesheet;helpdesk_mgmt_project,OCA/helpdesk,85%,"Enterprise-only module (not available in CE). OCA: Full ticketing, SLA via custom fields"
sale_subscription,sale_subscription,enterprise-only,,Unknown,Unknown,sale_subscription,OCA/sale-workflow,80%,"Enterprise-only module (not available in CE). OCA: Core subscription logic, may need customization"
