Work Item Type,Title,Parent Title,Tags,Description,Acceptance Criteria
Epic,FIN-E1 — Finance Unified System Module Maturity,,finance-ppm,"Bring the 5 active + 2 planned finance Odoo modules to production readiness with tests, version alignment, and documentation. Spec: spec/finance-unified/. SSOT: ssot/finance/unified-system.yaml. Doc: docs/modules/FINANCE_UNIFIED_SYSTEM.md.","All 5 active modules on v19.0; all deprecated modules gated installable:False; seed integrity tests green; contract tests in CI."
Issue,FIN-I1.1 — Module Version Alignment,FIN-E1 — Finance Unified System Module Maturity,finance-ppm,"Align all active finance module versions to Odoo 18.0 and enforce deprecated module gating. Ref: spec/finance-unified/tasks.md T1.5-T1.7.","ipai_bir_tax_compliance bumped to 19.0.1.0.0; ipai_finance_workflow has DEPRECATED in manifest description; ipai_finance_closing_seed.json has derivation note."
Task,FIN-T1.1a — Bump ipai_bir_tax_compliance to 19.0,FIN-I1.1 — Module Version Alignment,finance-ppm;bir-compliance,"Change version from 18.0.1.0.0 to 19.0.1.0.0 in __manifest__.py. Run upgrade_code if needed. Ref: spec/finance-unified/tasks.md T1.5.","Version string is 19.0.1.0.0 in manifest; module installs on test DB without error."
Task,FIN-T1.1b — Add DEPRECATED to ipai_finance_workflow manifest,FIN-I1.1 — Module Version Alignment,finance-ppm,"Add DEPRECATED banner to ipai_finance_workflow manifest description. Confirm installable: False. Ref: T1.6.","Manifest description contains DEPRECATED; installable remains False."
Task,FIN-T1.1c — Add derivation note to ipai_finance_closing_seed.json,FIN-I1.1 — Module Version Alignment,finance-ppm,"Add header/companion note to repo-root ipai_finance_closing_seed.json indicating it is derived from XML seeds. Ref: T1.7.","File contains derivation note referencing ipai_finance_close_seed/data/ as canonical source."
Issue,FIN-I1.2 — Seed Integrity Validation Tests,FIN-E1 — Finance Unified System Module Maturity,finance-ppm;month-end-close;bir-compliance,"Create test suites for seed data integrity across all finance modules. Ref: spec/finance-unified/plan.md Phase 3.","test_seed_integrity.py validates 6 stages, 33 tags, 9 team, 2 projects, 11 milestones, 39+50 tasks; test_bir_schedules.py validates form coverage; test_ppm_smoke.py validates install and extensions."
Task,FIN-T1.2a — Create test_seed_integrity.py for ipai_finance_close_seed,FIN-I1.2 — Seed Integrity Validation Tests,finance-ppm;month-end-close,"Create addons/ipai/ipai_finance_close_seed/tests/test_seed_integrity.py with 9 test methods per spec plan. Ref: T3.1.","Tests exist; all 9 validators pass on test_ipai_finance_close_seed DB."
Task,FIN-T1.2b — Create test_bir_schedules.py for ipai_bir_tax_compliance,FIN-I1.2 — Seed Integrity Validation Tests,finance-ppm;bir-compliance,"Create tests/test_bir_schedules.py validating monthly/quarterly/annual form coverage and tax rate data. Ref: T3.2.","Tests exist; 5 validators pass on test_ipai_bir_tax_compliance DB."
Task,FIN-T1.2c — Create test_ppm_smoke.py for ipai_finance_ppm,FIN-I1.2 — Seed Integrity Validation Tests,finance-ppm,"Create tests/test_ppm_smoke.py validating clean install, field extensions, wizard, and dashboard action. Ref: T3.3.","Tests exist; 5 validators pass on test_ipai_finance_ppm DB."
Issue,FIN-I1.3 — Contract Tests and CI Integration,FIN-E1 — Finance Unified System Module Maturity,finance-ppm,"Create repo-level contract tests and add to CI. Ref: spec/finance-unified/plan.md Phase 4.","test_finance_system.py exists at tests/contracts/; CI workflow runs contract tests on push."
