module_name,name,version,author,license,category,installable,application,auto_install,depends_count,has_enterprise_deps,enterprise_deps,python_file_count,xml_file_count,has_models,has_views,has_controllers,status,classification_type,recommendation,reason
ipai_industry_marketing_agency,InsightPulse Industry - Marketing Agency,18.0.1.0.0,InsightPulse AI,LGPL-3,InsightPulse/Vertical,True,False,False,1,False,,2,1,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_ppm_monthly_close,PPM Monthly Close Scheduler,18.0.1.0.0,InsightPulse AI,AGPL-3,Project Management,True,False,False,4,False,,5,6,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_dev_studio_base,InsightPulse Dev Studio Base,18.0.1.1.0,InsightPulse AI,LGPL-3,Tools,True,False,False,5,False,,1,0,True,False,False,OK,integration,KEEP,AI/Integration functionality
ipai_test_fixtures,IPAI Test Fixtures,18.0.1.0.0,InsightPulse AI,AGPL-3,Hidden/Tools,True,False,False,3,False,,3,0,True,False,False,OK,test,DEMOTE,Test support module - should be application=False
ipai_ask_ai,IPAI Ask AI,18.0.1.0.0,InsightPulse AI,AGPL-3,Productivity/AI,True,True,False,4,False,,5,4,True,True,True,OK,integration,KEEP,AI/Integration functionality
ipai_finance_ppm_closing,IPAI Finance PPM Closing Generator,18.0.1.1.0,InsightPulse AI,AGPL-3,Accounting/Finance,True,False,False,3,False,,8,1,True,False,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_expense,IPAI Expense & Travel (PH),18.0.1.0.0,InsightPulse AI,AGPL-3,Human Resources/Expenses,True,True,False,4,False,,3,4,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_advisor,IPAI Ops Advisor,18.0.1.0.0,InsightPulse AI,LGPL-3,Operations,True,True,False,2,False,,6,8,True,True,True,OK,integration,KEEP,AI/Integration functionality
ipai_superset_connector,IPAI Superset Connector,18.0.1.0.0,InsightPulse AI,LGPL-3,Reporting/BI,True,True,False,2,False,,5,6,True,True,True,OK,integration,KEEP,AI/Integration functionality
ipai_finance_ppm_tdi,Finance PPM Transaction Data Ingestion (TDI),18.0.1.0.0,InsightPulse AI,AGPL-3,Finance,True,False,False,4,False,,7,10,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_clarity_ppm_parity,InsightPulse Clarity PPM Parity,18.0.1.1.0,InsightPulse AI,AGPL-3,Project Management,True,False,False,1,False,,6,8,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_ce_branding,InsightPulse AI - CE Branding,18.0.1.2.0,InsightPulse AI,AGPL-3,Customization,True,False,False,2,False,,1,2,False,True,False,OK,branding,DEMOTE,Branding/UI customization - should be application=False
ipai_ppm_a1,IPAI PPM A1 Control Center,18.0.1.0.0,InsightPulse AI,LGPL-3,Project/Portfolio,True,True,False,3,False,,8,8,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_custom_routes,InsightPulse Custom Routes,18.0.1.0.0,InsightPulse AI,AGPL-3,Extra Tools,True,False,False,6,False,,2,1,False,False,True,OK,patch,DEMOTE,Technical patch - should be application=False
ipai_finance_month_end,IPAI Finance Month-End (Templates + Generator),18.0.1.0.0,InsightPulse AI,LGPL-3,Accounting/Project,True,False,False,3,False,,7,4,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_equipment,IPAI Equipment Management,18.0.1.0.0,InsightPulse AI,AGPL-3,Inventory,True,True,False,3,False,,3,2,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_master_control,Master Control - Work Intake,18.0.1.0.0,InsightPulse AI,LGPL-3,Productivity,True,False,False,4,False,,6,1,True,False,False,OK,integration,KEEP,AI/Integration functionality
ipai_srm,IPAI Supplier Relationship Management,18.0.1.0.0,InsightPulse AI,AGPL-3,Inventory/Purchase,True,True,False,4,False,,6,7,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_default_home,InsightPulse Custom Home Page,18.0.3.0.0,InsightPulse AI,AGPL-3,Extra Tools,True,False,False,3,False,,2,3,False,True,True,OK,integration,KEEP,AI/Integration functionality
ipai_ask_ai_chatter,IPAI Ask AI Chatter,18.0.1.0.0,InsightPulse AI,AGPL-3,Productivity/AI,True,False,False,2,False,,2,2,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_ocr_expense,IPAI OCR Expense Digitization,18.0.1.0.0,InsightPulse AI,AGPL-3,Human Resources/Expenses,True,False,False,2,False,,4,3,True,True,True,OK,integration,KEEP,AI/Integration functionality
