Area,Step,Owner,Due Date,Gate,Evidence Link,Status
0-Prerequisites,Prod URL correct (https://erp.insightpulseai.com),IT Admin,,System,URL returns 200,Pending
0-Prerequisites,Mail queue cron enabled (so invites/reset works),IT Admin,,System,ir.cron active for Email Queue,Pending
0-Prerequisites,Correct company + timezone + currency + fiscal year,Finance Lead,,System,Settings screenshot,Pending
0-Prerequisites,Users created (no demo logins for real operations),IT Admin,,System,res.users list export,Pending
0-Prerequisites,Outgoing email server set (Gmail OAuth OR Zoho SMTP),IT Admin,,Email,ir.mail_server config screenshot,Pending
0-Prerequisites,Test: send 1 invite + 1 password reset successfully,IT Admin,,Email,Received email screenshot,Pending
0-Prerequisites,Domain allowlist set (omc.com/tbwa-smp.com) for invite tool,IT Admin,,Email,System param ipai.ask_ai.domain_allowlist,Pending
0-Prerequisites,Ask AI provider selected (openai or gemini),IT Admin,,Ask AI,System param ipai.ask_ai.provider,Pending
0-Prerequisites,Ask AI API key saved in Settings,IT Admin,,Ask AI,Settings screenshot (masked key),Pending
0-Prerequisites,Ask AI smoke test returns response,IT Admin,,Ask AI,Shell test output,Pending
A-Opening Entries,Create AR Clearing (Current Assets / Allow Reconciliation),Finance Lead,,AR/AP Setup,account.account record,Pending
A-Opening Entries,Create AP Clearing (Current Liabilities / Allow Reconciliation),Finance Lead,,AR/AP Setup,account.account record,Pending
A-Opening Entries,Validate: Open invoices + credits + payments reconcile vs AR aging,Finance Lead,,AR/AP Validation,Reconciliation report,Pending
A-Opening Entries,Validate: Open bills + refunds + payments reconcile vs AP aging,Finance Lead,,AR/AP Validation,Reconciliation report,Pending
A-Opening Entries,Multi-currency: Currency rates updated before import (if applicable),Finance Lead,,FX,res.currency.rate records,Pending
A-Opening Entries,Import: Customers + Vendors (partners),Finance Lead,,Import,Import log / count,Pending
A-Opening Entries,Import: Open invoices / credit notes,Finance Lead,,Import,Import log / count,Pending
A-Opening Entries,Import: Open bills / refunds,Finance Lead,,Import,Import log / count,Pending
A-Opening Entries,Import: Payment initial balances mapped correctly (if needed),Finance Lead,,Import,Journal entry screenshot,Pending
