capability,odoo_core,oca,ipai_module,azure_service,baseline_or_optional,smart_success_criteria,evidence_traceability,notes
core_erp_runtime,true,adds_workflow_depth,,"Azure Container Apps; Azure Front Door",baseline,"Before UAT opens: /web/login responds; at least 1 RC promoted without manual container edits; rollback documented and tested; ingress/revision health visible in telemetry",current_runtime_state; hardening_plan_runtime_lane,"Canonical current runtime. ACA ipai-odoo-dev-env behind Front Door."
alternate_self_managed_compute,true,adds_workflow_depth,,"Virtual Machines; VM Scale Sets",optional_alternate,"Adopt only with written rationale showing ACA insufficient; migration plan and rollback plan approved; ownership model assigned",,"Valid alternate lane. Not current default."
primary_database,true,extends_model_and_workflows,,Azure Database for PostgreSQL Flexible Server,baseline,"Before go/no-go: at least 1 backup/restore rehearsal succeeds; DB connectivity and migrations pass on current RC; no Sev1 data integrity defects",T5_complete_rto_8m8s,"pg-ipai-odoo. T5 restore drill: RTO 8m8s RPO ~5min."
runtime_edge_and_ingress_hardening,true,false,"ipai_aca_proxy; ipai_security_frontdoor","Azure Container Apps; Azure Front Door; WAF",baseline,"Before formal UAT: /web/login responds through canonical ingress; one proxy/header regression test passes; one rollback/revision recovery recorded",aca_runtime_lane; frontdoor_security_lane,"ipai_aca_proxy installs on 18.0. ipai_security_frontdoor needs migration."
identity_and_workforce_access,partial,partial,ipai_auth_oidc,Microsoft Entra ID,baseline,"Before Wave 1 UAT: all named testers authenticate through approved path; role mapping for Finance/Sales/Procurement/Inventory/Admin; no shared admin accounts",entra_migration_spec; ipai_auth_oidc_installed_18,"IPAI handles app-side bridge; Entra is platform authority."
secretless_workload_auth,false,false,,"Managed Identities; Azure Key Vault",baseline,"Before production cutover: zero plaintext cloud credentials in managed paths; one e2e connectivity proof captured",T17_tranche_1_kv_private_endpoint,"kv-ipai-dev active. T17 KV PE in Tranche 1."
monitoring_apm_logs,partial,partial,,"Azure Monitor; Application Insights; Log Analytics",baseline,"Before go-live: 5 critical alerts/dashboards; smoke validation in telemetry; incident triage same day",T9_complete_alert_routing; T11_tranche_2_kpi_dashboard,"T9 complete. T11 dashboard due 2026-04-23."
deployment_contract_iac,false,false,,"azd; Bicep; ARM",baseline,"Before first production-ready RC: environment-aware deployment contract; infra/app versioned; one clean env provisioned from repo state",T8_complete_budget_bicep,"Budget Bicep at infra/azure/modules/budget.bicep."
ci_cd_and_work_tracking,false,false,,"GitHub; Azure DevOps; Azure Boards",baseline,"Before formal UAT: all RCs from PR-merged source; every prod release maps to work item; test evidence for 100% of RCs",pipeline_repo_authority_ssot; T12_tranche_1_secret_drift_gate,"Pipeline authority normalized. T12 due 2026-04-16."
storage_artifacts_backups,partial,partial,,Storage Accounts,baseline,"Before go-live: at least 1 recovery artifact written/retrieved; retention owner assigned; no evidence on local machines",T5_complete_restore_drill,"PITR via PG Flexible Server."
workspace_shell_and_meta_bridge,partial,partial,"ipai_workspace_core; ipai_enterprise_bridge; ipai_web_branding; ipai_mail_plugin_bridge","Azure Container Apps; App Configuration",baseline,"Before demo/UAT entry: workspace shell installs; branded login renders; mail/plugin integration works if enabled; no navigation regression",workspace_shell_lane,"ipai_mail_plugin_bridge installs on 18.0. Others need migration."
subscription_management,partial,strong_ce_oca_lane,,Azure Container Apps,baseline,"Before subscription UAT: subscription_oca installable on Odoo 18; at least 1 create-renew-close scenario passes in staging",oca_inventory_subscription_oca_18,"subscription_oca v18.0.1.0.0 installs (PASS)."
sign_and_esignature,false,strong_ce_oca_lane,,Azure Container Apps,baseline,"Before sign UAT: sign_oca installs; at least 1 project-task-sign scenario passes in staging",oca_inventory_sign_oca_18; oca_inventory_project_task_sign_oca_18,"sign_oca and project_task_sign_oca install (PASS). agreement_sign_oca blocked by missing dep."
spreadsheet_and_dashboards,partial,strong_ce_oca_lane,,Azure Container Apps,baseline,"Before dashboard UAT: spreadsheet_oca installs; at least 1 dashboard renders in staging; no Sev1 data-visibility issue",oca_inventory_spreadsheet_oca_18; oca_inventory_spreadsheet_dashboard_oca_18,"spreadsheet_oca and spreadsheet_dashboard_oca install (PASS)."
quality_control,false,strong_ce_oca_lane,,Azure Container Apps,baseline,"Before mfg/warehouse UAT: both quality modules install; at least 1 quality checkpoint passes in staging",oca_inventory_quality_control_oca_18; oca_inventory_quality_control_stock_oca_18,"quality_control_oca and quality_control_stock_oca install (PASS)."
accounting_reporting_and_reconcile,true,strong_ce_oca_lane,,Azure Container Apps,baseline,"Before finance UAT: reporting/reconcile addons install; at least 1 bank reconcile and 1 financial report scenario pass",oca_inventory_account_financial_report_18; oca_inventory_account_reconcile_oca_18; oca_inventory_partner_statement_18,"account_financial_report account_reconcile_oca partner_statement install (PASS)."
procurement_workflow_depth,true,strong_ce_oca_lane,,Azure Container Apps,baseline,"Before procurement UAT: purchase workflow addons install; at least 1 PO-to-receipt scenario with reception-status visibility",oca_inventory_purchase_location_by_line_18; oca_inventory_purchase_reception_status_18; oca_inventory_purchase_stock_reception_status_18,"purchase_location_by_line purchase_reception_status purchase_stock_reception_status install (PASS)."
copilot_and_ai_interaction_layer,false,true,"ipai_agent; ipai_odoo_copilot; ipai_copilot_actions; ipai_document_intelligence","Azure OpenAI; AI Search; Container Apps; Managed Identity",optional_ai_lane,"Before AI production: at least 1 copilot use case works; one retrieval-backed path returns source-aware output; AI failure does not block ERP",copilot_lane; ai_sidecar_lane; T14_tranche_2_agent_eval,"All 4 IPAI copilot modules install on 18.0 (PASS)."
ai_bridge_oca_modules,false,true,,"Azure OpenAI; AI Search; Container Apps",optional_ai_lane,"Before AI activation: ai_oca_bridge installs; one bounded use case works; AI failure does not break ERP",oca_inventory_ai_oca_bridge_18,"ai_oca_bridge v18.0.2.0.0 installs (PASS)."
document_intelligence_bridge,partial,bridge_first,ipai_document_intelligence,"Document Intelligence; Container Apps; Azure OpenAI",optional_ai_lane,"Before document AI UAT: at least 1 doc class processed; low-confidence review path exists; extraction persisted in Odoo; failure does not block ERP",document_ai_lane,"ipai_document_intelligence installs on 18.0 (PASS)."
local_domain_extensions,true,partial,"ipai_bir_tax_compliance; ipai_hr_expense_liquidation; ipai_finance_ppm","Azure Container Apps; PostgreSQL Flexible Server",conditional_baseline,"Before finance/admin sign-off: each enabled module installs; at least 1 scenario per module passes; no Sev1 finance/compliance defect",local_business_lane,"bir_tax_compliance and hr_expense_liquidation install (PASS). finance_ppm needs migration."
config_and_feature_flags,partial,partial,,App Configuration,optional,"Adopt when multi-surface config needed; no config drift between environments",,"Add when needed."
api_and_workflow_integration,partial,strong_for_app_workflows,,"API Management; Logic Apps; Service Bus",optional,"Before external integrations: APIs inventoried; at least 1 critical integration through approved path; retry/error handling proven",,"Good for governed integrations."
cache_performance_offload,partial,partial,,Azure Cache for Redis,optional,"Adopt only when measurable bottleneck exists; target response times improve; no new Sev1 consistency defect",T15_tranche_1_perf_ci,"T15 establishes baseline first."
release_quality_load_testing,false,false,,Azure Load Testing,optional_recommended,"Before go/no-go: at least 1 cohort simulation; login + 3 workflows meet thresholds; bottlenecks logged",T15_tranche_1,"k6 script exists. T15 due 2026-04-18. P95 <2s err <2%."
security_posture,partial,partial,,Microsoft Defender for Cloud,optional_recommended,"Before production approval: posture reviewed; critical findings dispositioned; no unresolved Sev1; one named owner at go/no-go",,"Strong guardrail for Azure resources."
private_enterprise_connectivity,false,false,,ExpressRoute,optional,"Adopt only with documented private WAN requirement; one private-path test; failover owner named; cost justified",,"Not part of default baseline."
ai_knowledge_retrieval,false,false,,AI Search,optional_ai_lane,"Before AI rollout: at least 1 corpus indexed; retrieval tested on eval set; citations in agreed flows; no AI dep blocks ERP",T14_tranche_2_agent_eval,"T14 agent eval due 2026-05-05."
llm_assistant_services,false,false,,Azure OpenAI,optional_ai_lane,"Before AI rollout: one bounded use case approved; safety/access controls; one e2e test; AI failure does not break ERP",T14_tranche_2_agent_eval,"oai-ipai-dev (East US). Adjacent capability."
ai_sidecars_copilots_jobs,false,false,,"Container Apps; Container App Jobs",optional_ai_lane,"Before AI ops: non-core services deploy independently; health monitored; scale demonstrated; sidecar failure does not affect ERP",,"ipai-copilot-gateway already deployed."
event_driven_extensions,partial,partial,,"Function App; Event Hubs",optional,"Before activation: producer/consumer contract; one failure-and-retry tested; telemetry confirms handling; duplicate/poison defined",,"Use when eventing adds real value."
