id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_ipai_engagement_user,ipai.engagement.user,model_ipai_engagement,account.group_account_user,1,1,1,0
access_ipai_engagement_manager,ipai.engagement.manager,model_ipai_engagement,account.group_account_manager,1,1,1,1
access_ipai_engagement_period_user,ipai.engagement.period.user,model_ipai_engagement_period,account.group_account_user,1,1,1,0
access_ipai_engagement_period_manager,ipai.engagement.period.manager,model_ipai_engagement_period,account.group_account_manager,1,1,1,1
access_ipai_compliance_task_user,ipai.compliance.task.user,model_ipai_compliance_task,account.group_account_user,1,1,1,0
access_ipai_compliance_task_manager,ipai.compliance.task.manager,model_ipai_compliance_task,account.group_account_manager,1,1,1,1
access_ipai_document_request_user,ipai.document.request.user,model_ipai_document_request,account.group_account_user,1,1,1,0
access_ipai_document_request_manager,ipai.document.request.manager,model_ipai_document_request,account.group_account_manager,1,1,1,1
access_ipai_workpaper_user,ipai.workpaper.user,model_ipai_workpaper,account.group_account_user,1,1,1,0
access_ipai_workpaper_manager,ipai.workpaper.manager,model_ipai_workpaper,account.group_account_manager,1,1,1,1
