"id","name","project_id/name","stage_id/name","sequence","planned_hours","description"
"ppm_task_001","Cluster A - Payroll Cut-off Data","Finance PPM - Month-End Close & Tax Filing","To Do",10,8.0,"Gather payroll cut-off data for month-end processing"
"ppm_task_002","Cluster A - Payroll Tax Provision","Finance PPM - Month-End Close & Tax Filing","To Do",20,4.0,"Calculate and record payroll tax provisions"
"ppm_task_003","Cluster A - VAT Filing Data Preparation","Finance PPM - Month-End Close & Tax Filing","To Do",30,6.0,"Prepare VAT filing data and supporting schedules"
"ppm_task_004","Cluster A - CA Liquidations (Project)","Finance PPM - Month-End Close & Tax Filing","To Do",40,4.0,"Process project-related cash advance liquidations"
"ppm_task_005","Cluster A - CA Liquidations (Employee)","Finance PPM - Month-End Close & Tax Filing","To Do",50,4.0,"Process employee-submitted cash advance liquidations"
"ppm_task_006","Cluster B - Revenue Accruals","Finance PPM - Month-End Close & Tax Filing","To Do",60,6.0,"Record revenue accruals for unbilled services"
"ppm_task_007","Cluster B - Consultancy Fee Accruals","Finance PPM - Month-End Close & Tax Filing","To Do",70,4.0,"Accrue consultancy fees for the period"
"ppm_task_008","Cluster B - Management Fee Allocation","Finance PPM - Month-End Close & Tax Filing","To Do",80,4.0,"Allocate management fees across cost centers"
"ppm_task_009","Cluster B - Royalty Fee Calculation","Finance PPM - Month-End Close & Tax Filing","To Do",90,3.0,"Calculate and record royalty fees"
"ppm_task_010","Cluster B - Recurring Monthly Costs","Finance PPM - Month-End Close & Tax Filing","To Do",100,4.0,"Post recurring monthly cost entries"
"ppm_task_011","Cluster C - Prepaid Expense Amortization","Finance PPM - Month-End Close & Tax Filing","To Do",110,3.0,"Amortize prepaid expenses for the period"
"ppm_task_012","Cluster C - Fixed Asset Depreciation","Finance PPM - Month-End Close & Tax Filing","To Do",120,4.0,"Run depreciation for fixed assets"
"ppm_task_013","Cluster C - Insurance Premium Allocation","Finance PPM - Month-End Close & Tax Filing","To Do",130,2.0,"Allocate insurance premiums"
"ppm_task_014","Cluster C - Business Permit Amortization","Finance PPM - Month-End Close & Tax Filing","To Do",140,2.0,"Amortize business permit costs"
"ppm_task_015","Cluster C - LOA/Audit Fee Amortization","Finance PPM - Month-End Close & Tax Filing","To Do",150,2.0,"Amortize LOA and audit fee prepayments"
"ppm_task_016","Cluster D - WIP Reconciliation","Finance PPM - Month-End Close & Tax Filing","To Do",160,6.0,"Reconcile work-in-progress accounts"
"ppm_task_017","Cluster D - WIP Reclassification","Finance PPM - Month-End Close & Tax Filing","To Do",170,4.0,"Reclassify WIP/OOP costs as needed"
"ppm_task_018","Cluster D - WIP Schedule Summary","Finance PPM - Month-End Close & Tax Filing","To Do",180,3.0,"Prepare WIP schedule summary report"
"ppm_task_019","Cluster E - Prior Month Accrual Reversal","Finance PPM - Month-End Close & Tax Filing","To Do",190,3.0,"Reverse prior month temporary accruals"
"ppm_task_020","Cluster E - Flash Report Preparation","Finance PPM - Month-End Close & Tax Filing","To Do",200,4.0,"Prepare flash financial report"
"ppm_task_021","Cluster E - Wins/Losses Report","Finance PPM - Month-End Close & Tax Filing","To Do",210,3.0,"Prepare wins and losses analysis report"
"ppm_task_022","Cluster E - AR Aging Report","Finance PPM - Month-End Close & Tax Filing","To Do",220,3.0,"Generate and review AR aging report"
"ppm_task_023","Cluster E - AP Aging Report","Finance PPM - Month-End Close & Tax Filing","To Do",230,3.0,"Generate and review AP aging report"
"ppm_task_024","Cluster E - GL Corrections","Finance PPM - Month-End Close & Tax Filing","To Do",240,4.0,"Post general ledger corrections"
"ppm_task_025","Cluster E - Job Code Transfers","Finance PPM - Month-End Close & Tax Filing","To Do",250,3.0,"Process job code transfers and reallocations"
"ppm_task_026","Cluster E - Final TB Review","Finance PPM - Month-End Close & Tax Filing","To Do",260,4.0,"Review final trial balance"
"ppm_task_027","Cluster E - FD Sign-off","Finance PPM - Month-End Close & Tax Filing","To Do",270,2.0,"Obtain Finance Director sign-off on close"
