id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_ipai_service_pack_user,ipai.service.pack.user,model_ipai_service_pack,base.group_user,1,0,0,0
access_ipai_service_pack_manager,ipai.service.pack.manager,model_ipai_service_pack,sales_team.group_sale_manager,1,1,1,1
access_ipai_service_pack_line_user,ipai.service.pack.line.user,model_ipai_service_pack_line,base.group_user,1,0,0,0
access_ipai_service_pack_line_manager,ipai.service.pack.line.manager,model_ipai_service_pack_line,sales_team.group_sale_manager,1,1,1,1
access_ipai_quote_calculator_config_user,ipai.quote.calculator.config.user,model_ipai_quote_calculator_config,base.group_user,1,0,0,0
access_ipai_quote_calculator_config_manager,ipai.quote.calculator.config.manager,model_ipai_quote_calculator_config,sales_team.group_sale_manager,1,1,1,1
access_ipai_quote_calculator_run_user,ipai.quote.calculator.run.user,model_ipai_quote_calculator_run,base.group_user,1,1,1,0
access_ipai_quote_calculator_run_manager,ipai.quote.calculator.run.manager,model_ipai_quote_calculator_run,sales_team.group_sale_manager,1,1,1,1
access_ipai_implementation_template_user,ipai.implementation.template.user,model_ipai_implementation_template,base.group_user,1,0,0,0
access_ipai_implementation_template_manager,ipai.implementation.template.manager,model_ipai_implementation_template,sales_team.group_sale_manager,1,1,1,1
access_ipai_implementation_phase_user,ipai.implementation.phase.user,model_ipai_implementation_phase,base.group_user,1,0,0,0
access_ipai_implementation_phase_manager,ipai.implementation.phase.manager,model_ipai_implementation_phase,sales_team.group_sale_manager,1,1,1,1
access_ipai_implementation_deliverable_user,ipai.implementation.deliverable.user,model_ipai_implementation_deliverable,base.group_user,1,0,0,0
access_ipai_implementation_deliverable_manager,ipai.implementation.deliverable.manager,model_ipai_implementation_deliverable,sales_team.group_sale_manager,1,1,1,1
access_ipai_risk_register_item_user,ipai.risk.register.item.user,model_ipai_risk_register_item,base.group_user,1,1,1,0
access_ipai_risk_register_item_manager,ipai.risk.register.item.manager,model_ipai_risk_register_item,sales_team.group_sale_manager,1,1,1,1
