id,name,project_id/id,tag_ids/id,date_deadline,planned_hours,sequence,description
ipai_seed.task_bir_jan_1601c,1601-C (Withholding Tax) - January 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_1601c,2026-02-10,8,10,"BIR Form: 1601-C (Monthly Withholding Tax on Compensation)
Period: January 2026
Prep Request: 2026-02-04
Report Approval: 2026-02-06
Payment Approval: 2026-02-09
Deadline: 2026-02-10
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_jan_0619e,0619-E (VAT Declaration) - January 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_0619e,2026-02-20,8,20,"BIR Form: 0619-E (Monthly VAT Declaration)
Period: January 2026
Deadline: 2026-02-20
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_feb_1601c,1601-C (Withholding Tax) - February 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_1601c,2026-03-10,8,30,"BIR Form: 1601-C (Monthly Withholding Tax on Compensation)
Period: February 2026
Prep Request: 2026-03-04
Report Approval: 2026-03-06
Payment Approval: 2026-03-09
Deadline: 2026-03-10
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_feb_0619e,0619-E (VAT Declaration) - February 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_0619e,2026-03-20,8,40,"BIR Form: 0619-E (Monthly VAT Declaration)
Period: February 2026
Deadline: 2026-03-20
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_mar_1601c,1601-C (Withholding Tax) - March 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_1601c,2026-04-10,8,50,"BIR Form: 1601-C (Monthly Withholding Tax on Compensation)
Period: March 2026
Deadline: 2026-04-10
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_mar_0619e,0619-E (VAT Declaration) - March 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_0619e,2026-04-20,8,60,"BIR Form: 0619-E (Monthly VAT Declaration)
Period: March 2026
Deadline: 2026-04-20
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_q1_2550q,2550Q (Quarterly VAT) - Q1 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_2550q,2026-04-25,16,70,"BIR Form: 2550Q (Quarterly VAT Return)
Period: Q1 2026 (Jan-Mar)
Prep Request: 2026-04-19
Report Approval: 2026-04-21
Payment Approval: 2026-04-23
Deadline: 2026-04-25 (within 25 days after quarter end)
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_q1_1601eq,1601-EQ (Quarterly EWT) - Q1 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_1601eq,2026-04-30,16,80,"BIR Form: 1601-EQ (Quarterly Expanded Withholding Tax)
Period: Q1 2026 (Jan-Mar)
Prep Request: 2026-04-24
Report Approval: 2026-04-28
Payment Approval: 2026-04-29
Deadline: 2026-04-30
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_apr_1601c,1601-C (Withholding Tax) - April 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_1601c,2026-05-11,8,90,"BIR Form: 1601-C (Monthly Withholding Tax on Compensation)
Period: April 2026
Deadline: 2026-05-11 (moved from weekend)
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
ipai_seed.task_bir_apr_0619e,0619-E (VAT Declaration) - April 2026,ipai_seed.project_bir_tax_filing,ipai_seed.tag_bir_0619e,2026-05-20,8,100,"BIR Form: 0619-E (Monthly VAT Declaration)
Period: April 2026
Deadline: 2026-05-20
Preparer: BOM | Reviewer: RIM | Approver: CKVC"
