module,status,version,depends_count,model_count,view_count,menu_count,manifest_ok,python_ok,xml_ok,security_ok,issue_count,warning_count
ipai_advisor,PASS,18.0.1.0.0,2,5,11,8,Y,Y,Y,Y,0,0
ipai_agent_core,PASS,18.0.1.0.0,2,4,9,6,Y,Y,Y,Y,0,0
ipai_ask_ai,PASS,18.0.1.1.0,4,4,1,0,Y,Y,Y,Y,0,0
ipai_ask_ai_chatter,PASS,18.0.1.1.0,2,2,0,0,Y,Y,Y,Y,0,0
ipai_assets,PASS,18.0.1.1.0,4,4,12,6,Y,Y,Y,Y,0,0
ipai_bir_compliance,WARN,18.0.1.0.0,1,1,2,2,Y,Y,Y,Y,0,1
ipai_bir_tax_compliance,PASS,18.0.1.0.0,3,10,15,11,Y,Y,Y,Y,0,0
ipai_ce_branding,WARN,1.2.0,2,0,0,0,Y,Y,Y,Y,0,1
ipai_ce_cleaner,WARN,18.0.1.0.0,2,0,0,0,Y,Y,Y,Y,0,1
ipai_clarity_ppm_parity,PASS,18.0.1.1.0,1,5,8,2,Y,Y,Y,Y,0,0
ipai_close_orchestration,PASS,18.0.1.0.0,2,9,20,10,Y,Y,Y,Y,0,0
ipai_crm_pipeline,PASS,18.0.1.0.0,4,3,3,2,Y,Y,Y,Y,0,0
ipai_custom_routes,WARN,18.0.1.0.0,6,0,0,0,Y,Y,Y,Y,0,1
ipai_default_home,WARN,18.0.3.0.0,3,0,0,1,Y,Y,Y,Y,0,1
ipai_dev_studio_base,WARN,18.0.1.1.0,5,0,0,0,Y,Y,Y,Y,0,1
ipai_equipment,WARN,18.0.1.0.0,3,3,15,5,Y,Y,Y,Y,0,1
ipai_expense,WARN,18.0.1.0.0,4,2,7,2,Y,Y,Y,Y,0,1
ipai_finance_bir_compliance,WARN,18.0.1.0.0,3,3,4,3,Y,Y,Y,Y,0,1
ipai_finance_close_automation,PASS,18.0.1.0.0,3,2,1,2,Y,Y,Y,Y,0,0
ipai_finance_close_seed,WARN,18.0.1.0.0,2,0,0,0,Y,Y,Y,Y,0,1
ipai_finance_closing,PASS,18.0.1.0.0,2,0,0,0,Y,Y,Y,Y,0,0
ipai_finance_month_end,WARN,18.0.1.0.0,3,3,4,4,Y,Y,Y,Y,0,1
ipai_finance_monthly_closing,PASS,18.0.1.0.0,1,1,0,0,Y,Y,Y,Y,0,0
ipai_finance_ppm,WARN,18.0.1.0.0,3,17,24,12,Y,Y,Y,Y,0,1
ipai_finance_ppm_closing,WARN,18.0.1.1.0,3,6,0,0,Y,Y,Y,Y,0,1
ipai_finance_ppm_dashboard,WARN,18.0.1.0.0,2,0,0,1,Y,Y,Y,Y,0,1
ipai_finance_ppm_golive,WARN,18.0.1.0.0,2,3,7,6,Y,Y,Y,Y,0,1
ipai_finance_ppm_tdi,PASS,1.0.0,4,4,4,5,Y,Y,Y,Y,0,0
ipai_finance_ppm_umbrella,WARN,1.0.0,2,0,0,0,Y,Y,Y,Y,0,1
ipai_finance_project_hybrid,WARN,18.0.1.0.0,2,7,12,7,Y,Y,Y,Y,0,1
ipai_grid_view,PASS,18.0.1.0.0,3,8,9,4,Y,Y,Y,Y,0,0
ipai_industry_accounting_firm,PASS,18.0.1.0.0,1,1,1,0,Y,Y,Y,Y,0,0
ipai_industry_marketing_agency,PASS,18.0.1.0.0,1,1,1,0,Y,Y,Y,Y,0,0
ipai_master_control,PASS,18.0.1.0.0,4,4,0,0,Y,Y,Y,Y,0,0
ipai_month_end,PASS,18.0.1.0.0,3,4,15,6,Y,Y,Y,Y,0,0
ipai_month_end_closing,PASS,18.0.1.0.0,2,0,0,0,Y,Y,Y,Y,0,0
ipai_ocr_gateway,PASS,18.0.1.0.0,2,2,5,3,Y,Y,Y,Y,0,0
ipai_platform_approvals,PASS,18.0.1.0.0,3,3,0,0,Y,Y,Y,Y,0,0
ipai_platform_audit,PASS,18.0.1.0.0,2,4,3,0,Y,Y,Y,Y,0,0
ipai_platform_permissions,PASS,18.0.1.0.0,2,2,3,0,Y,Y,Y,Y,0,0
ipai_platform_theme,WARN,18.0.1.1.0,1,0,0,0,Y,Y,Y,Y,0,1
ipai_platform_workflow,PASS,18.0.1.0.0,2,3,0,0,Y,Y,Y,Y,0,0
ipai_portal_fix,WARN,18.0.1.0.1,1,2,0,0,Y,Y,Y,Y,0,1
ipai_ppm,PASS,18.0.1.0.0,3,6,16,8,Y,Y,Y,Y,0,0
ipai_ppm_a1,PASS,18.0.1.0.0,3,11,18,9,Y,Y,Y,Y,0,0
ipai_ppm_monthly_close,WARN,18.0.1.0.0,4,3,8,4,Y,Y,Y,Y,0,1
ipai_project_program,WARN,18.0.1.0.0,2,3,6,7,Y,Y,Y,Y,0,1
ipai_sms_gateway,PASS,18.0.1.0.0,2,2,5,3,Y,Y,Y,Y,0,0
ipai_srm,PASS,18.0.1.0.0,4,7,10,6,Y,Y,Y,Y,0,0
ipai_studio_ai,PASS,18.0.1.1.0,2,4,6,6,Y,Y,Y,Y,0,0
ipai_superset_connector,PASS,18.0.1.0.0,7,5,9,6,Y,Y,Y,Y,0,0
ipai_tbwa_finance,PASS,18.0.1.0.0,3,8,18,9,Y,Y,Y,Y,0,0
ipai_theme_tbwa_backend,WARN,18.0.1.1.0,2,0,0,0,Y,Y,Y,Y,0,1
ipai_web_theme_chatgpt,WARN,18.0.1.0.0,1,0,0,0,Y,Y,Y,Y,0,1
ipai_workos_affine,WARN,18.0.1.0.0,10,0,0,0,Y,Y,Y,Y,0,1
ipai_workos_blocks,PASS,18.0.1.0.0,3,1,2,1,Y,Y,Y,Y,0,0
ipai_workos_canvas,PASS,18.0.1.0.0,3,1,2,1,Y,Y,Y,Y,0,0
ipai_workos_collab,PASS,18.0.1.0.0,3,1,2,1,Y,Y,Y,Y,0,0
ipai_workos_core,PASS,18.0.1.0.0,5,3,10,5,Y,Y,Y,Y,0,0
ipai_workos_db,PASS,18.0.1.0.0,3,3,4,1,Y,Y,Y,Y,0,0
ipai_workos_search,PASS,18.0.1.0.0,5,2,1,1,Y,Y,Y,Y,0,0
ipai_workos_templates,PASS,18.0.1.0.0,5,2,3,1,Y,Y,Y,Y,0,0
ipai_workos_views,PASS,18.0.1.0.0,4,1,2,1,Y,Y,Y,Y,0,0
ipai_workspace_core,PASS,18.0.1.0.0,1,2,7,2,Y,Y,Y,Y,0,0
