id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_kpi_category_user,srm.kpi.category.user,model_srm_kpi_category,group_srm_user,1,0,0,0
access_kpi_category_admin,srm.kpi.category.admin,model_srm_kpi_category,group_srm_admin,1,1,1,1
access_supplier_user,srm.supplier.user,model_srm_supplier,group_srm_user,1,0,0,0
access_supplier_manager,srm.supplier.manager,model_srm_supplier,group_srm_manager,1,1,1,0
access_supplier_admin,srm.supplier.admin,model_srm_supplier,group_srm_admin,1,1,1,1
access_scorecard_user,srm.scorecard.user,model_srm_scorecard,group_srm_user,1,0,0,0
access_scorecard_manager,srm.scorecard.manager,model_srm_scorecard,group_srm_manager,1,1,1,0
access_scorecard_admin,srm.scorecard.admin,model_srm_scorecard,group_srm_admin,1,1,1,1
access_scorecard_line_user,srm.scorecard.line.user,model_srm_scorecard_line,group_srm_user,1,0,0,0
access_scorecard_line_manager,srm.scorecard.line.manager,model_srm_scorecard_line,group_srm_manager,1,1,1,1
access_qualification_user,srm.qualification.user,model_srm_qualification,group_srm_user,1,0,0,0
access_qualification_manager,srm.qualification.manager,model_srm_qualification,group_srm_manager,1,1,1,0
access_qualification_admin,srm.qualification.admin,model_srm_qualification,group_srm_admin,1,1,1,1
access_qualification_checklist_user,srm.qualification.checklist.user,model_srm_qualification_checklist,group_srm_user,1,0,0,0
access_qualification_checklist_manager,srm.qualification.checklist.manager,model_srm_qualification_checklist,group_srm_manager,1,1,1,1
