id,name,project_id:id,tag_ids/id,planned_hours,description
ipai_close_1,"Process and record Payroll, Final Pay, SL Conversions, and early retirement accrual.",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_payroll_personnel,16.0,"Category: Payroll & Personnel
Reviewed by: CKVC
Approved by: CKVC
Employee code: RIM"
ipai_close_2,Calculate and record the monthly Tax Provision and PPB Provision (performance bonuses).,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_tax_provisions,16.0,"Category: Tax & Provisions
Reviewed by: CKVC
Approved by: CKVC
Employee code: RIM"
ipai_close_3,Record recurring monthly Rental Income/Expense and monthly amortization expense for employee hospitalization plans.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_rent_leases,16.0,"Category: Rent & Leases
Reviewed by: CKVC
Approved by: CKVC
Employee code: RIM"
ipai_close_4,Record accruals for Consultancy Fees and various routine General Expense Accruals.Estimated expense for which a vendor invoice has not yet been received.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_accruals_expenses,16.0,"Category: Accruals & Expenses
Reviewed by: CKVC
Approved by: CKVC
Employee code: RIM"
ipai_close_5,Process and record Payments for various Cash Advances. Recording the funding/issuance of cash to employees for expected business expenditures.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_accruals_expenses,16.0,"Category: Accruals & Expenses
Reviewed by: CKVC
Approved by: CKVC
Employee code: RIM"
ipai_close_6,The necessary reversal or adjustment of temporary journal entries created in a previous month. Process reversal entries for the prior month's accruals and reclassifications.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_prior_period_review,16.0,"Category: Prior Period Review
Reviewed by: CKVC
Approved by: CKVC
Employee code: RIM"
ipai_close_7,"Allocating prepaid expenses and capital costs over time to reflect true monthly resource consumption. Record monthly Depreciation, Amortization for vehicles/purchases/LOA, and Amortization for all technology licenses and shared service costs.",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_amortization_corporate,16.0,"Category: Amortization & Corporate
Reviewed by: RIM
Approved by: CKVC
Employee code: BOM"
ipai_close_8,"Accrue monthly expenses for Management and Royalty fees, consulting fees, and funds for Innovations/Initiatives. Brief Detail: Recognizing an expense for internal projects or strategic corporate investments not yet formally invoiced.",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_corporate_accruals,16.0,"Category: Corporate Accruals
Reviewed by: RIM
Approved by: CKVC
Employee code: BOM"
ipai_close_9,Monthly tracking and recording of premiums for various corporate insurance policies. Record monthly accrual for various Corporate Insurance types and amortize prepaid Health Insurance.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_insurance,16.0,"Category: Insurance
Reviewed by: RIM
Approved by: CKVC
Employee code: BOM"
ipai_close_10,"Non-operating financial activities including capital structure and compliance. Record monthly bank charges, perform revaluation of foreign currency bank accounts, and record the monthly expense portion of the Omnicom stock option grant.",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_treasury_other,16.0,"Category: Treasury & Other
Reviewed by: RIM
Approved by: CKVC
Employee code: BOM"
ipai_close_11,"Process reversal entries for all prior month Accruals (e.g., trainings, production/retainers).",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_prior_period_review,16.0,"Category: Prior Period Review
Reviewed by: RIM
Approved by: CKVC
Employee code: BOM"
ipai_close_12,"Prepare reports for Flash, Wins & Losses and Revenue.",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_regional_reporting,16.0,"Category: Regional Reporting
Reviewed by: RIM
Approved by: CKVC
Employee code: BOM"
ipai_close_13,"Recognizing revenue and billable costs based on client contracts and project status. Accrue estimated Production, Retainer Fees, Media Commission, Creative Fees, and OOPC. Recording estimated Out-of-Pocket Costs that will eventually be billed to a client.",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_client_billings,16.0,"Category: Client Billings
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
ipai_close_14,Reconciling and reclassifying costs to ensure they are correctly categorized as billable (WIP) or internal (OOP). Perform month-end Reclassifications of OOP to WIP (moves client-related expenses to an active project account) and necessary Reclass WIP to OOP (moves costs back if non-billable).,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_wip_oop_management,16.0,"Category: WIP/OOP Management
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
ipai_close_15,Allocating prepaid expenses and capital costs over time to reflect true monthly resource consumption. Record monthly Amortization of the Business Permit and Amortization of LOA.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_amortization_corporate,16.0,"Category: Amortization & Corporate
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
ipai_close_16,Accrue estimated monthly Audit Fees.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_amortization_corporate,16.0,"Category: Amortization & Corporate
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
ipai_close_17,Record monthly Rental Expense/Income related to intercompany transactions.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_amortization_corporate,16.0,"Category: Amortization & Corporate
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
