module,branch,repo,status,reason
project_template,18.0,https://github.com/OCA/project,available,"Project templates for Finance PPM and Month-end close patterns"
project_timeline,18.0,https://github.com/OCA/project,available,"Timeline/Gantt view for PPM deadlines"
project_timeline_hr_timesheet,18.0,https://github.com/OCA/project,available,"Show task progress on timeline from timesheets"
project_timesheet_time_control,18.0,https://github.com/OCA/project,available,"Control and track time spent on tasks"
project_type,18.0,https://github.com/OCA/project,available,"Categorize projects by type (Finance PPM vs others)"
project_version,18.0,https://github.com/OCA/project,available,"Versioning of projects/scenarios"
sale_project_copy_tasks,18.0,https://github.com/OCA/project,available,"Copy tasks into projects from sale orders where needed"
sale_project_task_recurrency,18.0,https://github.com/OCA/project,available,"Recurring task patterns (monthly close cycles)"
sale_project_task_selection,18.0,https://github.com/OCA/project,available,"Manual selection of tasks/projects on sale lines"
project_task_stage_mgmt,18.0,https://github.com/OCA/project,available,"Stage management per project"
project_stage_closed,18.0,https://github.com/OCA/project,available,"Lock stages ordering to keep Finance PPM consistent"
project_task_code,18.0,https://github.com/OCA/project,available,"Task coding/numbering for Finance PPM tracking"
project_task_default_stage,18.0,https://github.com/OCA/project,available,"Default stage assignment for new tasks"
project_task_dependency,18.0,https://github.com/OCA/project,available,"Task dependencies (FS/SS/FF/SF) for close sequencing"
project_task_recurring,18.0,https://github.com/OCA/project,available,"Recurring tasks for monthly close cycles"
project_task_template,18.0,https://github.com/OCA/project,available,"Task templates for standardized close activities"
project_stage_state,17.0,https://github.com/OCA/project,port-needed,"[TODO: port to 18.0] Map stages to broad states for reporting (draft/open/pending/done)"
project_task_stage_state,17.0,https://github.com/OCA/project,port-needed,"[TODO: port to 18.0] Associates state to stage for automated actions"
project_wbs,17.0,https://github.com/OCA/project,port-needed,"[TODO: port to 18.0] Work Breakdown Structure for complex PPM hierarchies"
