task_code,task_id,name,category,employee_code,reviewed_by,approved_by,planned_hours
PAYROLL_001,task_close_01_process_and_record_payroll_fi,"Process and record Payroll, Final Pay, SL Conversions, and early retirement accrual.",Payroll & Personnel,RIM,CKVC,CKVC,16.0
TAX_PROV_001,task_close_02_calculate_and_record_the_month,Calculate and record the monthly Tax Provision and PPB Provision (performance bonuses).,Tax & Provisions,RIM,CKVC,CKVC,16.0
RENT_001,task_close_03_record_recurring_monthly_renta,Record recurring monthly Rental Income/Expense and monthly amortization expense for employee hospitalization plans.,Rent & Leases,RIM,CKVC,CKVC,16.0
ACCRUAL_001,task_close_04_record_accruals_for_consultanc,Record accruals for Consultancy Fees and various routine General Expense Accruals.Estimated expense for which a vendor invoice has not yet been received.,Accruals & Expenses,RIM,CKVC,CKVC,16.0
ACCRUAL_002,task_close_05_process_and_record_payments_fo,Process and record Payments for various Cash Advances. Recording the funding/issuance of cash to employees for expected business expenditures.,Accruals & Expenses,RIM,CKVC,CKVC,16.0
PRIOR_001,task_close_06_the_necessary_reversal_or_adju,The necessary reversal or adjustment of temporary journal entries created in a previous month. Process reversal entries for the prior month's accruals and reclassifications.,Prior Period Review,RIM,CKVC,CKVC,16.0
AMORT_001,task_close_07_allocating_prepaid_expenses_an,"Allocating prepaid expenses and capital costs over time to reflect true monthly resource consumption. Record monthly Depreciation, Amortization for vehicles/purchases/LOA, and Amortization for all technology licenses and shared service costs.",Amortization & Corporate,BOM,RIM,CKVC,16.0
CORP_ACC_001,task_close_08_accrue_monthly_expenses_for_ma,"Accrue monthly expenses for Management and Royalty fees, consulting fees, and funds for Innovations/Initiatives. Brief Detail: Recognizing an expense for internal projects or strategic corporate investments not yet formally invoiced.",Corporate Accruals,BOM,RIM,CKVC,16.0
INSURE_001,task_close_09_monthly_tracking_and_recording,Monthly tracking and recording of premiums for various corporate insurance policies. Record monthly accrual for various Corporate Insurance types and amortize prepaid Health Insurance.,Insurance,BOM,RIM,CKVC,16.0
TREASURY_001,task_close_10_non_operating_financial_activi,"Non-operating financial activities including capital structure and compliance. Record monthly bank charges, perform revaluation of foreign currency bank accounts, and record the monthly expense portion of the Omnicom stock option grant.",Treasury & Other,BOM,RIM,CKVC,16.0
PRIOR_002,task_close_11_process_reversal_entries_for_a,"Process reversal entries for all prior month Accruals (e.g., trainings, production/retainers).",Prior Period Review,BOM,RIM,CKVC,16.0
