Work Item Type,Title,Parent,Area Path,Iteration Path,Tags,Value Area,Business Value,Time Criticality,Description,Acceptance Criteria
Epic,Odoo on Azure Workload Documentation,,ipai-platform,ipai-platform\Docs\Foundation,"docs;odoo-on-azure;architecture",Architectural,100,95,"Canonical documentation family for the Odoo-on-Azure workload operating model.","Overview, workload-center, monitoring, deployment-automation, runtime, planning, integrations, and reference docs exist and are cross-linked."
Feature,Overview Family,Odoo on Azure Workload Documentation,ipai-platform\docs,ipai-platform\Docs\Foundation,"docs;overview",Architectural,95,90,"Top-level overview and support matrix for Odoo on Azure.","Overview pages exist, reviewed, and linked from README."
Feature,Workload Center Family,Odoo on Azure Workload Documentation,ipai-platform\platform,ipai-platform\Docs\Foundation,"platform;workload-center",Architectural,95,90,"Control-plane workload-center docs including OSI and drift.","OSI, inventory, drift, and lifecycle pages exist and reflect actual control-plane model."
Feature,Monitoring Family,Odoo on Azure Workload Documentation,ipai-platform\platform,ipai-platform\Docs\Wave-1,"platform;monitoring",Architectural,95,95,"Workload-specific monitoring and operational insights docs.","Monitoring pages exist and map to actual alerts, workbooks, and observability assets."
Feature,Deployment Automation Family,Odoo on Azure Workload Documentation,ipai-platform\infra,ipai-platform\Docs\Wave-1,"infra;deployment-automation",Architectural,100,95,"Deployment automation framework and promotion docs.","Automation pages exist and reflect actual IaC and promotion boundaries."
Feature,Runtime Family,Odoo on Azure Workload Documentation,ipai-platform\odoo,ipai-platform\Docs\Wave-1,"odoo;runtime",Architectural,90,85,"Runtime topology and platform-service reference docs.","Runtime docs exist for ACA topology, Postgres, networking, and filestore patterns."
Feature,Planning and Reference Family,Odoo on Azure Workload Documentation,ipai-platform\docs,ipai-platform\Docs\Foundation,"docs;planning;reference",Architectural,85,80,"Planning, benchmark, terminology, and parity mapping docs.","Planning and reference pages exist and are linked from the doc root."
Feature,Integrations Family,Odoo on Azure Workload Documentation,ipai-platform\docs,ipai-platform\Docs\Wave-1,"docs;integrations",Architectural,85,80,"Integration playbooks across identity, AI, OCR, search, messaging, and M365.","Integration pages exist with clear repo ownership and boundary rules."
User Story,WRITE: docs/odoo-on-azure/README.md,Overview Family,ipai-platform\docs,ipai-platform\Docs\Foundation,"write;docs",Architectural,85,85,"Create the root landing page for the Odoo-on-Azure documentation system.","README exists, links all doc families, and states ownership model."
User Story,WRITE: docs/odoo-on-azure/overview/index.md,Overview Family,ipai-platform\docs,ipai-platform\Docs\Foundation,"write;overview",Architectural,80,80,"Create the top-level overview page.","Page defines purpose, scope, navigation, and benchmark position."
User Story,WRITE: docs/odoo-on-azure/overview/offerings.md,Overview Family,ipai-platform\docs,ipai-platform\Docs\Foundation,"write;overview",Architectural,75,70,"Describe the supported Odoo-on-Azure offering shapes.","Page distinguishes workload, platform, and managed-service lanes."
User Story,WRITE: docs/odoo-on-azure/overview/supported-scenarios.md,Overview Family,ipai-platform\docs,ipai-platform\Docs\Foundation,"write;overview",Architectural,75,70,"Describe supported deployment and operating scenarios.","Page lists supported and unsupported scenarios."
User Story,WRITE: docs/odoo-on-azure/overview/support-matrix.md,Overview Family,ipai-platform\docs,ipai-platform\Docs\Foundation,"write;overview",Architectural,85,80,"Define version/support/compatibility matrix.","Page lists supported Odoo, OCA, and bridge compatibility positions."
User Story,EVIDENCE: validate repo authority map,Overview Family,ipai-platform\docs,ipai-platform\Docs\Foundation,"evidence;docs",Architectural,90,85,"Verify which repo is source-of-truth for each doc family.","Authority map reviewed and linked from README."
Epic,AI Platform Documentation,,ipai-platform,ipai-platform\Docs\Wave-2,"ai-platform;foundry",Architectural,95,90,"Canonical AI platform documentation family.","AI docs exist and keep runtime/orchestration outside Odoo."
Feature,AI Platform Index,AI Platform Documentation,ipai-platform\docs,ipai-platform\Docs\Wave-2,"ai-platform;index",Architectural,90,85,"Cross-repo entry point for AI platform docs.","Index exists and links platform and agents docs."
Feature,Foundry Control Plane,AI Platform Documentation,ipai-platform\platform,ipai-platform\Docs\Wave-2,"ai-platform;foundry",Architectural,95,90,"Document Foundry control-plane responsibilities.","Control-plane doc exists and maps to actual Foundry resources."
Feature,Retrieval and Grounding,AI Platform Documentation,ipai-platform\platform,ipai-platform\Docs\Wave-2,"ai-platform;retrieval",Architectural,95,90,"Document retrieval/search/grounding pattern.","Page exists and states current bridge status and target architecture."
Feature,Agent Runtime Boundaries,AI Platform Documentation,ipai-platform\agents,ipai-platform\Docs\Wave-2,"agents;boundaries",Architectural,90,85,"Document external-agent-runtime-only rule.","Boundary rules documented and linked to custom-module policy."
Epic,Engineering Documentation,,ipai-platform,ipai-platform\Docs\Wave-2,"engineering;delivery",Architectural,90,85,"AI-led engineering and delivery docs.","Engineering docs define spec-first and agent-assisted delivery."
Feature,Engineering Index,Engineering Documentation,ipai-platform\docs,ipai-platform\Docs\Wave-2,"engineering;index",Architectural,85,80,"Cross-repo entry point for engineering docs.","Index exists and links .github, infra, and agents docs."
Feature,Spec-Driven Development,Engineering Documentation,ipai-platform\docs,ipai-platform\Docs\Wave-2,"engineering;spec",Architectural,90,85,"Document spec-driven development model.","Spec docs exist and match actual governance conventions."
Feature,Agent-Assisted Delivery,Engineering Documentation,ipai-platform\agents,ipai-platform\Docs\Wave-2,"engineering;agents",Architectural,90,85,"Document coding-agent and quality-agent model.","Agent delivery docs exist and match repo behavior."
Feature,CI/CD and Promotion,Engineering Documentation,ipai-platform\infra,ipai-platform\Docs\Wave-2,"engineering;cicd",Architectural,95,90,"Document deterministic build/deploy/promotion model.","CI/CD docs exist and align to live pipelines."
Feature,SRE Feedback Loop,Engineering Documentation,ipai-platform\agents,ipai-platform\Docs\Wave-2,"engineering;sre",Architectural,90,85,"Document operational feedback into backlog/remediation loop.","Incident-to-backlog loop is documented with ownership."
Epic,Data Intelligence Documentation,,ipai-platform,ipai-platform\Docs\Wave-2,"data-intelligence;fabric;databricks",Architectural,90,80,"Canonical data-intelligence documentation family.","Data docs define lakehouse, governance, ingestion, and BI lanes."
