id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_integration_connector_user,ipai.integration.connector.user,model_ipai_integration_connector,group_integration_user,1,0,0,0
access_integration_connector_manager,ipai.integration.connector.manager,model_ipai_integration_connector,group_integration_manager,1,1,1,0
access_integration_connector_admin,ipai.integration.connector.admin,model_ipai_integration_connector,group_integration_admin,1,1,1,1
access_integration_webhook_user,ipai.integration.webhook.user,model_ipai_integration_webhook,group_integration_user,1,0,0,0
access_integration_webhook_manager,ipai.integration.webhook.manager,model_ipai_integration_webhook,group_integration_manager,1,1,1,1
access_integration_webhook_admin,ipai.integration.webhook.admin,model_ipai_integration_webhook,group_integration_admin,1,1,1,1
access_integration_bot_user,ipai.integration.bot.user,model_ipai_integration_bot,group_integration_user,1,0,0,0
access_integration_bot_manager,ipai.integration.bot.manager,model_ipai_integration_bot,group_integration_manager,1,1,1,1
access_integration_bot_admin,ipai.integration.bot.admin,model_ipai_integration_bot,group_integration_admin,1,1,1,1
access_integration_bot_command_user,ipai.integration.bot.command.user,model_ipai_integration_bot_command,group_integration_user,1,0,0,0
access_integration_bot_command_manager,ipai.integration.bot.command.manager,model_ipai_integration_bot_command,group_integration_manager,1,1,1,1
access_integration_oauth_user,ipai.integration.oauth.user,model_ipai_integration_oauth,group_integration_user,1,0,0,0
access_integration_oauth_manager,ipai.integration.oauth.manager,model_ipai_integration_oauth,group_integration_manager,1,1,0,0
access_integration_oauth_admin,ipai.integration.oauth.admin,model_ipai_integration_oauth,group_integration_admin,1,1,1,1
access_integration_audit_user,ipai.integration.audit.user,model_ipai_integration_audit,group_integration_user,1,0,0,0
access_integration_audit_admin,ipai.integration.audit.admin,model_ipai_integration_audit,group_integration_admin,1,1,1,1
