Work Item Type,Title,Area Path,Tags,Priority,Description,Acceptance Criteria
Issue,Install and prove Odoo Copilot end-to-end on canonical local/dev baseline,ipai-platform\odoo,marketplace-readiness;odoo;copilot;benchmark;local-dev,1,"Install and verify ipai_odoo_copilot on the canonical odoo_dev baseline and prove the core user flow inside Odoo, including bounded Copilot actions and visible UI entry points.",ipai_odoo_copilot is installed or upgraded on odoo_dev.; Copilot UI entry points are visible on the agreed target models.; A basic ask-copilot flow works end to end.; Evidence captures show the feature working on the canonical local/dev baseline.; Any missing dependency or asset issues are resolved.
Issue,"Freeze Odoo Copilot capability contract for informational, navigational, and transactional intents",ipai-platform\odoo,marketplace-readiness;product;copilot;capabilities;benchmark,1,"Define the user-facing capability contract for Odoo Copilot using the benchmark pattern of informational, navigational, and transactional capabilities, including explicit non-goals and approval boundaries.","Capability matrix is documented.; Informational, navigational, and transactional intents are explicitly defined.; Non-goals and unsupported scenarios are documented.; High-risk transactional actions are marked proposal-first.; Product-facing language is consistent across docs and demos."
Issue,Publish Foundry Odoo Copilot agent to a stable application endpoint,ipai-platform\agent-platform,marketplace-readiness;foundry;publish;agent-platform,1,"Publish the Odoo Copilot Foundry agent as a managed agent application with a stable endpoint, versioning contract, and authentication model suitable for downstream packaging and integration.",Foundry agent is published as an application.; Stable endpoint and auth mode are documented.; Agent versioning contract exists.; Odoo can call the published endpoint successfully.; Deployment and rollback notes are captured.
Issue,Package Odoo Copilot for Microsoft 365 / Teams distribution path,ipai-platform\agent-platform,marketplace-readiness;m365;teams;packaging;copilot,1,Create the supported Microsoft 365 / Teams packaging path for Odoo Copilot so it can be distributed privately first and then through the Microsoft Commercial Marketplace if desired.,Supported packaging approach is selected and documented.; App/agent manifest package exists.; Package installs cleanly in a private tenant or org catalog.; Auth and launch flow are validated.; Required icons and metadata placeholders exist.
Issue,Define bounded Foundry tool contract for Odoo Copilot Marketplace path,ipai-platform\agent-platform,marketplace-readiness;foundry;tools;security;contracts,1,"Define and implement the bounded tool surface used by Foundry agents when acting on Odoo context, ensuring no unrestricted ORM or database mutation paths are exposed.",Allowed tools are documented and implemented.; Tool inputs and outputs are versioned.; No unrestricted DB or ORM mutation access is exposed.; Tool calls are logged with correlation IDs.; Security review signs off on the bounded access model.
Issue,Create Marketplace quality and eval pack for Odoo Copilot,ipai-platform\agent-platform,marketplace-readiness;evals;quality;copilot;foundry,1,"Build the quality pack for Odoo Copilot covering helpfulness, grounding, OCR interpretation quality, action safety, and human approval yield to support Marketplace readiness and internal release gates.",Eval cases are defined for the initial scenarios.; Quality thresholds are documented.; Regression run can be repeated after prompt or agent changes.; Approval yield and edit/reject rates are captured.; Results can be attached to release evidence.
Issue,Define canonical OCR normalization and Odoo writeback contract,ipai-platform\platform,marketplace-readiness;ocr;contracts;platform;writeback,1,"Define the normalized OCR payload and writeback contract used between Document Intelligence, Foundry interpretation, and Odoo review models so Marketplace-facing behavior is stable and supportable.","Normalized OCR schema is documented and versioned.; Odoo writeback consumes only the normalized schema.; Confidence, review recommendation, and extraction metadata are explicit.; Failure and retry semantics are documented.; Contract is implemented in code and test-covered."
Issue,"Publish privacy, data handling, and boundary documentation for Odoo Copilot",ipai-platform\platform,marketplace-readiness;privacy;data-handling;boundaries;compliance,1,"Create the public-facing privacy, data handling, retention, and product-boundary documentation required to support Marketplace listing and customer trust for Odoo Copilot.",Privacy and data-processing scope is documented.; Retention and storage boundaries are documented.; Sensitive-data handling guidance exists.; Product boundary and review disclaimers are documented.; Support/privacy links are ready for listing use.
Issue,Create admin onboarding and tenant configuration guide for Microsoft 365 / Teams deployment,ipai-platform\platform,marketplace-readiness;onboarding;admin;m365;teams,2,Create the admin onboarding guide and tenant configuration contract for deploying Odoo Copilot into Microsoft 365 / Teams environments before Marketplace submission.,Admin onboarding steps are documented.; Required tenant/app settings are documented.; Support flow for deployment issues is defined.; Private deployment can be executed repeatably.; Prerequisites are explicit.
Issue,"Wire production-grade identity, secrets, ingress, and observability for Odoo Copilot runtime",ipai-platform\infra,marketplace-readiness;infra;identity;key-vault;observability,1,"Finalize the production-grade infrastructure contract for Odoo Copilot, including secret handling, identity, ingress, monitoring, tracing, and runtime reachability across Odoo, Foundry, and OCR services.",Identity and secret flow is documented and implemented.; Endpoint and ingress map is documented.; Monitoring and tracing are available for the critical flows.; Health checks validate external service reachability.; Production wiring is evidenced.
Issue,Define SLOs and baseline performance evidence for Odoo Copilot and OCR flows,ipai-platform\infra,marketplace-readiness;slo;performance;ocr;copilot,2,"Define and measure baseline responsiveness, availability, and error-rate targets for Odoo Copilot and OCR workflows to support Marketplace quality and supportability expectations.",SLO/SLA targets are documented.; Baseline latency and reliability evidence exists.; Smoke and health checks cover the critical user journeys.; Error budget or equivalent tolerance is defined.; Results are included in release evidence.
Issue,Prepare Partner Center offer draft and Marketplace submission asset pack,ipai-platform\docs,marketplace-readiness;partner-center;listing;submission,1,"Prepare the Partner Center offer draft and the submission asset pack for Odoo Copilot, including listing copy, screenshots, support links, privacy links, categories, and certification checklist coverage.",Partner Center offer draft exists.; Listing copy and screenshots are prepared.; Support and privacy links are finalized.; Categories and metadata are selected.; Submission checklist is completed.
Issue,Create Marketplace certification and review plan for first submission,ipai-platform\docs,marketplace-readiness;certification;review;planning,2,"Create the certification and review plan for the first Marketplace submission, including timeline, expected review iterations, owner assignments, and response workflow for certification feedback.",Submission timeline is documented.; Review owners are assigned.; Expected iteration workflow is documented.; Certification backlog structure exists.; Buffer for first-submission review is planned.
