xid_task,xid_project,task_name,description,stage_name,user_raw,active,date_deadline
seed_task__month_end_closing__process_and_record_payroll_final_pay_sl_conversions_and_early_retirement_accrual,seed_project__month_end_closing,"Process and record Payroll, Final Pay, SL Conversions, and early retirement accrual.",Category: Payroll & Personnel,New,RIM,True,
seed_task__month_end_closing__calculate_and_record_the_monthly_tax_provision_and_ppb_provision_performance_bon,seed_project__month_end_closing,Calculate and record the monthly Tax Provision and PPB Provision (performance bonuses).,Category: Tax & Provisions,New,,True,
seed_task__month_end_closing__record_recurring_monthly_rental_income_expense_and_monthly_amortization_expense_,seed_project__month_end_closing,Record recurring monthly Rental Income/Expense and monthly amortization expense for employee hospitalization plans.,Category: Rent & Leases,New,,True,
seed_task__month_end_closing__record_accruals_for_consultancy_fees_and_various_routine_general_expense_accrual,seed_project__month_end_closing,Record accruals for Consultancy Fees and various routine General Expense Accruals.Estimated expense for which a vendor invoice has not yet been received.,Category: Accruals & Expenses,New,,True,
seed_task__month_end_closing__process_and_record_payments_for_various_cash_advances_recording_the_funding_issu,seed_project__month_end_closing,Process and record Payments for various Cash Advances. Recording the funding/issuance of cash to employees for expected business expenditures.,Category: Accruals & Expenses,New,,True,
seed_task__month_end_closing__the_necessary_reversal_or_adjustment_of_temporary_journal_entries_created_in_a_p,seed_project__month_end_closing,The necessary reversal or adjustment of temporary journal entries created in a previous month. Process reversal entries for the prior month's accruals and reclassifications.,Category: Prior Period Review,New,,True,
seed_task__month_end_closing__allocating_prepaid_expenses_and_capital_costs_over_time_to_reflect_true_monthly_,seed_project__month_end_closing,"Allocating prepaid expenses and capital costs over time to reflect true monthly resource consumption. Record monthly Depreciation, Amortization for vehicles/purchases/LOA, and Amortization for all technology licenses and shared service costs.",Category: Amortization & Corporate,New,BOM,True,
seed_task__month_end_closing__accrue_monthly_expenses_for_management_and_royalty_fees_consulting_fees_and_fund,seed_project__month_end_closing,"Accrue monthly expenses for Management and Royalty fees, consulting fees, and funds for Innovations/Initiatives. Brief Detail: Recognizing an expense for internal projects or strategic corporate investments not yet formally invoiced.",Category: Corporate Accruals,New,,True,
seed_task__month_end_closing__monthly_tracking_and_recording_of_premiums_for_various_corporate_insurance_polic,seed_project__month_end_closing,Monthly tracking and recording of premiums for various corporate insurance policies. Record monthly accrual for various Corporate Insurance types and amortize prepaid Health Insurance.,Category: Insurance,New,,True,
seed_task__month_end_closing__non_operating_financial_activities_including_capital_structure_and_compliance_re,seed_project__month_end_closing,"Non-operating financial activities including capital structure and compliance. Record monthly bank charges, perform revaluation of foreign currency bank accounts, and record the monthly expense portion of the Omnicom stock option grant.",Category: Treasury & Other,New,,True,
