rule,url,title,section,score,matched_keywords,odoo_ce_modules,oca_repos
analytics,https://help.sap.com/docs/CONCUR_EXPENSE/user-guide,SAP Concur Expense User Guide,use,3,report,"account, hr_expense","OCA/reporting-engine, OCA/mis-builder, OCA/account-financial-reporting"
analytics,https://help.sap.com/docs/CONCUR/audit-compliance,Audit and Compliance Reporting,reference,6,"report, reporting","account, hr_expense","OCA/reporting-engine, OCA/mis-builder, OCA/account-financial-reporting"
analytics,https://help.sap.com/docs/CONCUR/analytics-dashboard,Analytics and Business Intelligence,use,12,"analytics, dashboard, intelligence, business intelligence","account, hr_expense","OCA/reporting-engine, OCA/mis-builder, OCA/account-financial-reporting"
analytics,https://help.sap.com/docs/CONCUR/standard-reports,Standard Reports and Exports,reference,9,"report, standard report, export","account, hr_expense","OCA/reporting-engine, OCA/mis-builder, OCA/account-financial-reporting"
analytics,https://help.sap.com/docs/CONCUR/mobile-app,Concur Mobile App Guide,use,3,bi,"account, hr_expense","OCA/reporting-engine, OCA/mis-builder, OCA/account-financial-reporting"
analytics,https://help.sap.com/docs/CONCUR/mobile-receipt-capture,Mobile Receipt Capture,use,3,bi,"account, hr_expense","OCA/reporting-engine, OCA/mis-builder, OCA/account-financial-reporting"
audit_compliance,https://help.sap.com/docs/CONCUR_INVOICE/approval,Invoice Approval Workflow,use,9,"approval, workflow, approval workflow","base, mail, account, hr","OCA/server-tools, OCA/account-financial-reporting"
audit_compliance,https://help.sap.com/docs/CONCUR/audit-compliance,Audit and Compliance Reporting,reference,12,"audit, compliance, audit trail, compliance report","base, mail, account, hr","OCA/server-tools, OCA/account-financial-reporting"
audit_compliance,https://help.sap.com/docs/CONCUR/policy-violation,Policy Violations and Approval Overrides,use,9,"policy, approval, policy violation","base, mail, account, hr","OCA/server-tools, OCA/account-financial-reporting"
expense,https://help.sap.com/docs/CONCUR_EXPENSE/user-guide,SAP Concur Expense User Guide,use,9,"expense, reimbursement, expense report","hr_expense, hr, account, purchase","OCA/hr, OCA/account-financial-tools, OCA/account-invoicing, OCA/purchase-workflow"
expense,https://help.sap.com/docs/CONCUR_EXPENSE/receipts,E-Receipts and Receipt Capture,use,9,"expense, receipt, e-receipt","hr_expense, hr, account, purchase","OCA/hr, OCA/account-financial-tools, OCA/account-invoicing, OCA/purchase-workflow"
expense,https://help.sap.com/docs/CONCUR_EXPENSE/itemization,Expense Itemization,use,6,"expense, itemization","hr_expense, hr, account, purchase","OCA/hr, OCA/account-financial-tools, OCA/account-invoicing, OCA/purchase-workflow"
expense,https://help.sap.com/docs/CONCUR_EXPENSE/mileage,Mileage Tracking,use,9,"expense, mileage, per diem","hr_expense, hr, account, purchase","OCA/hr, OCA/account-financial-tools, OCA/account-invoicing, OCA/purchase-workflow"
expense,https://help.sap.com/docs/CONCUR/mobile-receipt-capture,Mobile Receipt Capture,use,4,"receipt, e-receipt","hr_expense, hr, account, purchase","OCA/hr, OCA/account-financial-tools, OCA/account-invoicing, OCA/purchase-workflow"
integration,https://help.sap.com/docs/CONCUR/api-integration,API and Integration Guide,integrate,6,"api, integration","base, mail","OCA/server-tools, OCA/connector, OCA/queue"
integration,https://help.sap.com/docs/CONCUR/sso-saml,Single Sign-On with SAML,implement,6,"sso, saml","base, mail","OCA/server-tools, OCA/connector, OCA/queue"
invoice,https://help.sap.com/docs/CONCUR_EXPENSE/user-guide,SAP Concur Expense User Guide,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_EXPENSE/receipts,E-Receipts and Receipt Capture,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_EXPENSE/itemization,Expense Itemization,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_EXPENSE/mileage,Mileage Tracking,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_TRAVEL/booking,Travel Booking and Itinerary,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_TRAVEL/profile,Travel Profile and Preferences,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_INVOICE/approval,Invoice Approval Workflow,use,12,"invoice, supplier invoice, invoice approval, ap","account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR_INVOICE/payment,Payment Requests,use,12,"invoice, invoice payment, payment request, ap","account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/audit-compliance,Audit and Compliance Reporting,reference,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/policy-violation,Policy Violations and Approval Overrides,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/analytics-dashboard,Analytics and Business Intelligence,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/standard-reports,Standard Reports and Exports,reference,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/api-integration,API and Integration Guide,integrate,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/sso-saml,Single Sign-On with SAML,implement,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/mobile-app,Concur Mobile App Guide,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
invoice,https://help.sap.com/docs/CONCUR/mobile-receipt-capture,Mobile Receipt Capture,use,3,ap,"account, purchase, account_payment","OCA/account-invoicing, OCA/account-payment, OCA/purchase-workflow"
mobile,https://help.sap.com/docs/CONCUR/mobile-app,Concur Mobile App Guide,use,12,"mobile, mobile app, ios, android","hr_expense, hr",OCA/hr
mobile,https://help.sap.com/docs/CONCUR/mobile-receipt-capture,Mobile Receipt Capture,use,7,"mobile, mobile capture, mobile receipt","hr_expense, hr",OCA/hr
travel,https://help.sap.com/docs/CONCUR_TRAVEL/booking,Travel Booking and Itinerary,use,15,"travel, booking, itinerary, flight, hotel","project, hr, fleet, hr_expense","OCA/hr, OCA/project, OCA/fleet"
travel,https://help.sap.com/docs/CONCUR_TRAVEL/profile,Travel Profile and Preferences,use,7,"travel, travel profile, travel preference","project, hr, fleet, hr_expense","OCA/hr, OCA/project, OCA/fleet"
