id,name
finance_seed.tag_phase_1,"Phase I: Initial & Compliance"
finance_seed.tag_phase_2,"Phase II: Accruals & Amortization"
finance_seed.tag_phase_3,"Phase III: WIP"
finance_seed.tag_phase_4,"Phase IV: Final Adjustments"
finance_seed.tag_payroll_personnel,"Payroll & Personnel"
finance_seed.tag_tax_provisions,"Tax & Provisions"
finance_seed.tag_rent_leases,"Rent & Leases"
finance_seed.tag_accruals_expenses,"Accruals & Expenses"
finance_seed.tag_prior_period_review,"Prior Period Review"
finance_seed.tag_amortization_corporate,"Amortization & Corporate"
finance_seed.tag_corporate_accruals,"Corporate Accruals"
finance_seed.tag_insurance,"Insurance"
finance_seed.tag_treasury_other,"Treasury & Other"
finance_seed.tag_regional_reporting,"Regional Reporting"
finance_seed.tag_client_billings,"Client Billings"
finance_seed.tag_wip_oop_management,"WIP/OOP Management"
finance_seed.tag_ar_aging_wc,"AR Aging - WC"
finance_seed.tag_ca_liquidations,"CA Liquidations"
finance_seed.tag_ap_aging_wc,"AP Aging - WC"
finance_seed.tag_oop,"OOP"
finance_seed.tag_asset_lease_entries,"Asset & Lease Entries"
finance_seed.tag_reclassifications,"Reclassifications"
finance_seed.tag_vat_taxes,"VAT & Taxes"
finance_seed.tag_accruals_assets,"Accruals & Assets"
finance_seed.tag_ap_aging,"AP Aging"
finance_seed.tag_expense_reclassification,"Expense Reclassification"
finance_seed.tag_vat_reporting,"VAT Reporting"
finance_seed.tag_job_transfers,"Job Transfers"
finance_seed.tag_accruals,"Accruals"
finance_seed.tag_wip,"WIP"
finance_seed.tag_bir_1601c,"1601-C"
finance_seed.tag_bir_0619e,"0619-E"
finance_seed.tag_bir_2550q,"2550Q"
finance_seed.tag_bir_1601eq,"1601-EQ"
finance_seed.tag_bir_1702rt,"1702-RT"
finance_seed.tag_bir_1601fq,"1601-FQ"
