id,name,project_id/id,tag_ids/id,planned_hours,sequence,description
ipai_seed.task_me_01,"[I.1] Process and record Payroll, Final Pay, SL Conversions, and early retirement accrual",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_1,ipai_seed.tag_payroll_personnel",16,10,"Phase I: Initial & Compliance
Category: Payroll & Personnel
Prep by: RIM | Review: CKVC | Approve: CKVC"
ipai_seed.task_me_02,"[I.2] Calculate and record monthly Tax Provision and PPB Provision",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_1,ipai_seed.tag_tax_provisions",16,20,"Phase I: Initial & Compliance
Category: Tax & Provisions
Prep by: RIM | Review: CKVC | Approve: CKVC"
ipai_seed.task_me_03,"[I.3] Record recurring monthly Rental Income/Expense and hospitalization plan amortization",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_1,ipai_seed.tag_rent_leases",16,30,"Phase I: Initial & Compliance
Category: Rent & Leases
Prep by: RIM | Review: CKVC | Approve: CKVC"
ipai_seed.task_me_04,"[I.4] Record accruals for Consultancy Fees and General Expense Accruals",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_1,ipai_seed.tag_accruals_expenses",16,40,"Phase I: Initial & Compliance
Category: Accruals & Expenses
Prep by: RIM | Review: CKVC | Approve: CKVC"
ipai_seed.task_me_05,"[I.5] Process and record Payments for various Cash Advances",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_1,ipai_seed.tag_accruals_expenses",16,50,"Phase I: Initial & Compliance
Category: Accruals & Expenses
Prep by: RIM | Review: CKVC | Approve: CKVC"
ipai_seed.task_me_06,"[I.6] Process reversal entries for prior month accruals and reclassifications",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_1,ipai_seed.tag_prior_period_review",16,60,"Phase I: Initial & Compliance
Category: Prior Period Review
Prep by: RIM | Review: CKVC | Approve: CKVC"
ipai_seed.task_me_07,"[II.1] Record monthly Depreciation, Amortization for vehicles/purchases/LOA",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_2,ipai_seed.tag_amortization_corporate",16,70,"Phase II: Accruals & Amortization
Category: Amortization & Corporate
Prep by: BOM | Review: RIM | Approve: CKVC"
ipai_seed.task_me_08,"[II.2] Accrue monthly Management/Royalty fees and Innovations/Initiatives funds",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_2,ipai_seed.tag_corporate_accruals",16,80,"Phase II: Accruals & Amortization
Category: Corporate Accruals
Prep by: BOM | Review: RIM | Approve: CKVC"
ipai_seed.task_me_09,"[II.3] Record monthly Corporate Insurance accrual and prepaid Health Insurance amortization",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_2,ipai_seed.tag_insurance",16,90,"Phase II: Accruals & Amortization
Category: Insurance
Prep by: BOM | Review: RIM | Approve: CKVC"
ipai_seed.task_me_10,"[II.4] Record bank charges, FX revaluation, and stock option expense",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_2,ipai_seed.tag_treasury_other",16,100,"Phase II: Accruals & Amortization
Category: Treasury & Other
Prep by: BOM | Review: RIM | Approve: CKVC"
ipai_seed.task_me_11,"[II.5] Process reversal entries for prior month Accruals (trainings, production/retainers)",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_2,ipai_seed.tag_prior_period_review",16,110,"Phase II: Accruals & Amortization
Category: Prior Period Review
Prep by: BOM | Review: RIM | Approve: CKVC"
ipai_seed.task_me_12,"[II.6] Prepare reports for Flash, Wins & Losses and Revenue",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_2,ipai_seed.tag_regional_reporting",16,120,"Phase II: Accruals & Amortization
Category: Regional Reporting
Prep by: BOM | Review: RIM | Approve: CKVC"
ipai_seed.task_me_13,"[III.1] Accrue Production, Retainer Fees, Media Commission, Creative Fees, and OOPC",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_3,ipai_seed.tag_client_billings",16,130,"Phase III: WIP
Category: Client Billings
Prep by: JPAL | Review: BOM | Approve: CKVC"
ipai_seed.task_me_14,"[III.2] Perform month-end Reclassifications of OOP to WIP and WIP to OOP",ipai_seed.project_month_end_close,"ipai_seed.tag_phase_3,ipai_seed.tag_wip_oop_management",16,140,"Phase III: WIP
Category: WIP/OOP Management
Prep by: JPAL | Review: BOM | Approve: CKVC"
