Work Item Type,Title,Parent Title,Tags,Description,Acceptance Criteria
Epic,[EXP-001] Expense Automation Liquidation and Spend Control,,expense;finance-ppm;ocr;azure-doc-intel,"Build the canonical expense lane in Odoo with receipt capture, OCR, cash advance/liquidation, approval workflow, accounting posting, and bounded analytics enrichment.","Expense intake, OCR, liquidation, approval, accounting, and analytics enrichment all work end to end."
Issue,Expense intake - receipt invoice and attachment capture,[EXP-001] Expense Automation Liquidation and Spend Control,expense;intake,"Support employee expense submission and vendor invoice/receipt attachment upload in Odoo.","Expenses can be submitted with attachments; validation rules enforce required fields; duplicates are detected."
Task,Support employee expense submission in Odoo,Expense intake - receipt invoice and attachment capture,expense;odoo,"Enable expense line creation by employees.","Employees can create expense records."
Task,Support vendor invoice/receipt attachment upload,Expense intake - receipt invoice and attachment capture,expense;attachments,"Allow attachment upload on expense records.","Attachments upload and are retrievable."
Task,Add duplicate-detection rules,Expense intake - receipt invoice and attachment capture,expense;validation,"Detect duplicate expense submissions.","Duplicate submissions are flagged before approval."
Issue,Expense OCR - Azure Document Intelligence ingestion,[EXP-001] Expense Automation Liquidation and Spend Control,expense;ocr;azure-doc-intel,"Extract merchant, date, total, tax, currency from receipts via Azure Document Intelligence.","OCR extracts key fields; low-confidence extractions are queued for review; regression set exists."
Task,Extract merchant date total tax currency,Expense OCR - Azure Document Intelligence ingestion,expense;ocr,"Implement OCR field extraction pipeline.","Key receipt fields are extracted accurately."
Task,Build confidence scoring and exception queue,Expense OCR - Azure Document Intelligence ingestion,expense;ocr;quality,"Score extraction confidence and route low-confidence items.","Low-confidence items appear in review queue."
Task,Map OCR output to draft expense fields,Expense OCR - Azure Document Intelligence ingestion,expense;ocr;mapping,"Map parsed OCR payload to Odoo expense draft fields.","Draft expenses are pre-filled from OCR output."
Issue,Cash advance and liquidation workflow,[EXP-001] Expense Automation Liquidation and Spend Control,expense;liquidation;finance-ppm,"Model cash advance request, release/approval, and liquidation against advance.","Advances can be requested, approved, released, and liquidated with balance tracking."
Task,Model cash advance request,Cash advance and liquidation workflow,expense;liquidation,"Create cash advance request model.","Cash advance requests can be created."
Task,Model liquidation against advance,Cash advance and liquidation workflow,expense;liquidation,"Track expense liquidation against outstanding advances.","Liquidation offsets are tracked correctly."
Task,Track outstanding balances by employee,Cash advance and liquidation workflow,expense;liquidation;reporting,"Report outstanding advance balances.","Balance report shows current state per employee."
Issue,Expense approvals and spend policy enforcement,[EXP-001] Expense Automation Liquidation and Spend Control,expense;approvals;policy,"Add approval matrix by department/amount/type with non-compliant expense flags.","Approvals enforce policy; non-compliant expenses are flagged; audit trail exists."
Task,Add approval matrix by department amount type,Expense approvals and spend policy enforcement,expense;approvals,"Configure approval routing rules.","Approvals route correctly by matrix."
Task,Add non-compliant expense flags,Expense approvals and spend policy enforcement,expense;policy,"Flag expenses that violate spend policy.","Non-compliant items are visible to approvers."
Issue,Expense accounting and reimbursement posting,[EXP-001] Expense Automation Liquidation and Spend Control,expense;accounting;finance-ppm,"Map approved expenses to Odoo accounting entries and reimbursement payables.","Approved expenses post to correct accounts; liquidation offsets work; posted entries are immutable."
Task,Map approved expense to Odoo accounting entries,Expense accounting and reimbursement posting,expense;accounting,"Post approved expense to journal.","Journal entries are created correctly."
Task,Prevent direct mutation of posted entries,Expense accounting and reimbursement posting,expense;accounting;compliance,"Enforce immutability on posted entries.","Posted entries cannot be directly modified."
