External ID,Name,Project,Customer,Stage,Tags,Parent Task,Depends on,Description,Planned Hours,Deadline,Start Date,Priority,Sequence
ipai_task_alpha_001,Kickoff meeting,ipai_proj_alpha,ipai_partner_acme,ipai_stage_done,"ipai_tag_meeting,ipai_tag_milestone",,,Align scope and timeline with ACME stakeholders,2.0,2026-01-10,2026-01-08,1,10
ipai_task_alpha_002,Requirements gathering,ipai_proj_alpha,ipai_partner_acme,ipai_stage_done,"ipai_tag_documentation,ipai_tag_billable",,,Document functional and technical requirements,16.0,2026-01-17,2026-01-10,2,20
ipai_task_alpha_003,Requirements document v1,ipai_proj_alpha,ipai_partner_acme,ipai_stage_review,"ipai_tag_milestone,ipai_tag_deliverable,ipai_tag_client_review",ipai_task_alpha_002,ipai_task_alpha_002,First complete version of requirements document,8.0,2026-01-20,2026-01-17,2,30
ipai_task_alpha_004,Sprint 1 - Core flows,ipai_proj_alpha,ipai_partner_acme,ipai_stage_in_progress,"ipai_tag_development,ipai_tag_billable",,ipai_task_alpha_003,Implement core business flows,40.0,2026-02-07,2026-01-21,2,40
ipai_task_alpha_005,Sprint 1 - UI components,ipai_proj_alpha,ipai_partner_acme,ipai_stage_in_progress,"ipai_tag_design,ipai_tag_development,ipai_tag_billable",ipai_task_alpha_004,,Build UI components for core flows,24.0,2026-02-03,2026-01-21,1,45
ipai_task_alpha_006,Sprint 1 - Backend APIs,ipai_proj_alpha,ipai_partner_acme,ipai_stage_todo,"ipai_tag_development,ipai_tag_billable",ipai_task_alpha_004,,Implement backend API endpoints,32.0,2026-02-05,2026-01-23,1,46
ipai_task_alpha_007,UI review - Sprint 1,ipai_proj_alpha,ipai_partner_acme,ipai_stage_backlog,"ipai_tag_client_review,ipai_tag_meeting",,ipai_task_alpha_005,Review Sprint 1 UI with ACME stakeholders,4.0,2026-02-10,2026-02-07,1,50
ipai_task_beta_001,Platform evaluation,ipai_proj_beta,ipai_partner_acme,ipai_stage_done,ipai_tag_documentation,,,Evaluate e-commerce platform options,12.0,2026-02-10,2026-02-01,1,10
ipai_task_beta_002,Platform selection decision,ipai_proj_beta,ipai_partner_acme,ipai_stage_review,"ipai_tag_milestone,ipai_tag_deliverable",,ipai_task_beta_001,Final platform recommendation and approval,4.0,2026-02-14,2026-02-10,2,20
ipai_task_gamma_001,Discovery workshop,ipai_proj_gamma,ipai_partner_globex,ipai_stage_done,"ipai_tag_meeting,ipai_tag_milestone",,,Initial discovery workshop with Globex team,8.0,2026-01-20,2026-01-15,2,10
ipai_task_gamma_002,Process mapping,ipai_proj_gamma,ipai_partner_globex,ipai_stage_in_progress,"ipai_tag_documentation,ipai_tag_billable",,ipai_task_gamma_001,Map current business processes,24.0,2026-02-07,2026-01-21,1,20
ipai_task_internal_001,Infrastructure upgrade,ipai_proj_internal_dev,ipai_partner_tbwa,ipai_stage_todo,"ipai_tag_development,ipai_tag_non_billable",,,Upgrade production infrastructure,16.0,2026-01-31,2026-01-15,1,10
