task_id,task_name,project_id,milestone_id,assignee,reviewer,approver,stage,category,due_date,status,priority,evidence_status,pulser_ready,databricks_surface,genie_surface,is_recurring,recurring_period,automation_candidate,notes
TASK-001,GL and sub-ledger reconciliation — March 2026,PRJ-001,MS-001,RMQB,JPAL,CKVC,preparation,gl_reconciliation,2026-03-28,completed,high,complete,true,gold_finance_close_workload,Finance Operations,true,monthly,medium,Reconciled to zero variance
TASK-002,Accounts payable cutoff posting,PRJ-001,MS-001,JRMO,JPAL,CKVC,preparation,ap_cutoff,2026-03-28,completed,high,complete,true,gold_finance_close_workload,Finance Operations,true,monthly,high,All POs and invoices within cutoff window
TASK-003,Accounts receivable cutoff confirmation,PRJ-001,MS-001,RIM,JPAL,CKVC,preparation,ar_cutoff,2026-03-28,completed,medium,complete,true,gold_finance_close_workload,Finance Operations,true,monthly,medium,All invoices and receipts within period
TASK-004,Accruals computation and journal entry prep,PRJ-001,MS-002,JPAL,CKVC,,preparation,accruals,2026-03-30,completed,high,complete,true,gold_finance_close_workload,Finance Operations,true,monthly,medium,Accruals posted — utilities rent insurance
TASK-005,Provisions review and posting,PRJ-001,MS-002,JPAL,CKVC,,preparation,provisions,2026-03-30,completed,medium,complete,false,gold_finance_close_workload,Finance Operations,false,,low,Doubtful accounts provision reviewed
TASK-006,WIP schedule computation and validation,PRJ-001,MS-003,JPAL,CKVC,,preparation,wip_revrec,2026-04-01,completed,high,complete,false,gold_finance_close_workload,Finance Operations,false,,low,WIP per project computed against billings
TASK-007,Revenue recognition entries posted,PRJ-001,MS-003,JPAL,CKVC,,preparation,wip_revrec,2026-04-01,completed,high,complete,false,gold_finance_close_workload,Finance Operations,false,,low,Rev rec per PFRS 15 applied
TASK-008,Trial balance preparation and review,PRJ-001,MS-004,RMQB,CKVC,,review,tb_review,2026-04-05,in_progress,high,partial,true,gold_finance_close_workload,Finance Operations,true,monthly,medium,TB draft prepared — CKVC review pending
TASK-009,Management reporting pack preparation,PRJ-001,MS-005,BOM,CKVC,,preparation,reporting,2026-04-08,not_started,medium,not_started,true,gold_finance_close_workload,Finance Operations,true,monthly,high,P&L BS and CF for March 2026
TASK-010,Management reporting pack delivery,PRJ-001,MS-005,BOM,CKVC,,approval,reporting,2026-04-10,not_started,medium,not_started,true,gold_finance_close_workload,Finance Operations,true,monthly,medium,Delivered to CKVC and management team
TASK-011,VAT data extraction from Odoo GL,PRJ-002,MS-006,JAP,JPAL,,preparation,vat_data,2026-04-03,in_progress,high,partial,true,gold_finance_bir_deadline_control,Compliance & Tax,true,monthly,high,Zero-rated transactions require vendor evidence
