id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_payslip_user,hr.payslip.user,model_hr_payslip,hr.group_hr_user,1,1,1,0
access_hr_payslip_manager,hr.payslip.manager,model_hr_payslip,hr.group_hr_manager,1,1,1,1
access_hr_salary_rule_category_user,hr.salary.rule.category.user,model_hr_salary_rule_category,hr.group_hr_user,1,0,0,0
access_hr_salary_rule_category_manager,hr.salary.rule.category.manager,model_hr_salary_rule_category,hr.group_hr_manager,1,1,1,1
access_hr_salary_rule_user,hr.salary.rule.user,model_hr_salary_rule,hr.group_hr_user,1,0,0,0
access_hr_salary_rule_manager,hr.salary.rule.manager,model_hr_salary_rule,hr.group_hr_manager,1,1,1,1
access_ph_sss_table_user,ph.sss.contribution.table.user,model_ph_sss_contribution_table,hr.group_hr_user,1,0,0,0
access_ph_sss_table_manager,ph.sss.contribution.table.manager,model_ph_sss_contribution_table,hr.group_hr_manager,1,1,1,1
access_ph_philhealth_table_user,ph.philhealth.table.user,model_ph_philhealth_table,hr.group_hr_user,1,0,0,0
access_ph_philhealth_table_manager,ph.philhealth.table.manager,model_ph_philhealth_table,hr.group_hr_manager,1,1,1,1
access_ph_pagibig_table_user,ph.pagibig.table.user,model_ph_pagibig_table,hr.group_hr_user,1,0,0,0
access_ph_pagibig_table_manager,ph.pagibig.table.manager,model_ph_pagibig_table,hr.group_hr_manager,1,1,1,1
access_ph_bir_tax_table_user,ph.bir.tax.table.user,model_ph_bir_tax_table,hr.group_hr_user,1,0,0,0
access_ph_bir_tax_table_manager,ph.bir.tax.table.manager,model_ph_bir_tax_table,hr.group_hr_manager,1,1,1,1
