id,name,default_code,detailed_type,list_price,standard_price,description
finance_seed.exp_airfare,"Airfare",TRAVEL-AIR,service,5000.00,0.00,"Commercial airline tickets (GL: 6100-10)"
finance_seed.exp_lodging,"Lodging",TRAVEL-HOTEL,service,500.00,0.00,"Hotel and accommodation (GL: 6100-20)"
finance_seed.exp_ground_transport,"Ground Transportation",TRAVEL-GROUND,service,200.00,0.00,"Taxi, Uber, Lyft, rental car (GL: 6100-30)"
finance_seed.exp_parking_tolls,"Parking & Tolls",TRAVEL-PARK,service,100.00,0.00,"Parking fees and road tolls (GL: 6100-40)"
finance_seed.exp_mileage,"Mileage Reimbursement",TRAVEL-MILE,service,0.00,0.00,"Personal vehicle mileage (GL: 6100-50)"
finance_seed.exp_meals_client,"Meals - Client",MEALS-CLIENT,service,200.00,0.00,"Client entertainment meals (GL: 6200-10)"
finance_seed.exp_meals_team,"Meals - Team",MEALS-TEAM,service,150.00,0.00,"Team meals and events (GL: 6200-20)"
finance_seed.exp_meals_individual,"Meals - Individual",MEALS-INDIV,service,75.00,0.00,"Individual meal while traveling (GL: 6200-30)"
finance_seed.exp_office_supplies,"Office Supplies",OFFICE-SUPPLY,service,100.00,0.00,"Stationery, printer supplies (GL: 6300-10)"
finance_seed.exp_computer_equipment,"Computer Equipment",OFFICE-COMP,service,1000.00,0.00,"Hardware, peripherals (GL: 6300-20)"
finance_seed.exp_software_subs,"Software & Subscriptions",OFFICE-SW,service,500.00,0.00,"Software licenses, SaaS (GL: 6300-30)"
finance_seed.exp_books_materials,"Books & Materials",OFFICE-BOOKS,service,100.00,0.00,"Reference materials, books (GL: 6300-40)"
finance_seed.exp_training_courses,"Training & Courses",TRAIN-COURSE,service,2000.00,0.00,"Training programs, certifications (GL: 6400-10)"
finance_seed.exp_conferences,"Conferences",TRAIN-CONF,service,1500.00,0.00,"Conference registration fees (GL: 6400-20)"
finance_seed.exp_prof_memberships,"Professional Memberships",TRAIN-MEMBER,service,500.00,0.00,"Industry association dues (GL: 6400-30)"
finance_seed.exp_phone_internet,"Phone & Internet",COMM-PHONE,service,150.00,0.00,"Mobile phone, home internet WFH (GL: 6500-10)"
finance_seed.exp_shipping_postage,"Shipping & Postage",COMM-SHIP,service,100.00,0.00,"Package shipping, mail (GL: 6500-20)"
finance_seed.exp_other_business,"Other Business Expense",OTHER,service,250.00,0.00,"Miscellaneous business expenses (GL: 6900-00)"
