Work Item Type,Title,Parent Title,Tags,Description,Acceptance Criteria
Epic,POC-001 - Deliver InsightPulseAI Azure POC,,poc;azure;odoo;databricks;foundry;release-truth;evidence,"Build a live Azure-hosted proof of concept for InsightPulseAI that demonstrates: 1) Odoo as the transactional system of record, 2) Databricks as the intelligence layer, 3) one bounded AI/automation workflow, 4) repeatable deployment through the approved release path, 5) a complete evidence pack for demo, validation, and later startup-benefit re-engagement.","Live Azure-hosted POC exists; one end-to-end business workflow works; data reaches the intelligence layer; one AI/automation path works; evidence pack exists."
Issue,ISSUE-001 - Odoo transactional core POC,POC-001 - Deliver InsightPulseAI Azure POC,poc;azure;odoo;business-systems,"Stand up Odoo on Azure and prove one core transactional workflow end to end.","User can sign in; one transaction is created and persisted; health checks pass."
Task,TASK-001.1 - Deploy Odoo runtime to Azure target environment,ISSUE-001 - Odoo transactional core POC,poc;azure;odoo;deploy,"Deploy the canonical Odoo runtime to the target Azure environment for the POC.","Odoo runtime is reachable and healthy in Azure."
Task,TASK-001.2 - Verify PostgreSQL connectivity and health,ISSUE-001 - Odoo transactional core POC,poc;azure;postgres,"Confirm Odoo is connected to PostgreSQL and basic DB health is green.","DB connection succeeds; health checks return success."
Task,TASK-001.3 - Configure canonical hostname and ingress,ISSUE-001 - Odoo transactional core POC,poc;azure;networking,"Bind the POC to the intended hostname and ingress path.","Hostname resolves correctly; ingress reaches Odoo."
Task,TASK-001.4 - Seed one demo workflow dataset,ISSUE-001 - Odoo transactional core POC,poc;odoo;demo-data,"Load the minimum dataset needed to demo one business workflow.","Demo data exists and is usable in the selected workflow."
Task,TASK-001.5 - Verify login and one transaction flow end to end,ISSUE-001 - Odoo transactional core POC,poc;odoo;smoke-test,"Execute a login and one complete transaction flow for the POC scenario.","Login succeeds; transaction completes successfully."
Issue,ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),POC-001 - Deliver InsightPulseAI Azure POC,poc;odoo;azure-boards;sync;integration;odoo-wins,"Implement a bounded sync between Odoo Projects and Azure Boards for POC purposes. Azure Boards remains planned truth at portfolio/epic level, but synced project/task execution fields are projected from Odoo Projects. Conflict rule: Odoo wins for synced work item fields.","A bounded sync path exists; mapped Odoo project/task data appears in Azure Boards; conflict handling is documented and enforced; Odoo-origin updates are reflected in Boards; evidence pack exists."
Task,TASK-008.1 - Define sync boundary and authority rules,ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),poc;sync;governance;odoo-wins,"Define exactly which fields sync from Odoo Projects to Azure Boards and which do not. Document conflict resolution and exception handling.","Field map and authority rules are documented and approved."
Task,TASK-008.2 - Define Odoo to Azure Boards mapping model,ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),poc;odoo;azure-boards;mapping;odoo-wins,"Map Odoo project/task concepts to Azure Boards work item types and fields for the POC.","Mapping covers project, task, status, owner, dates, and reference IDs."
Task,TASK-008.3 - Implement one-way projection from Odoo to Azure Boards,ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),poc;integration;automation;odoo-wins,"Build the initial sync so Odoo projects/tasks create or update corresponding Azure Boards items.","At least one Odoo project and its tasks are projected successfully into Azure Boards."
Task,TASK-008.4 - Enforce conflict rule (Odoo wins),ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),poc;sync;conflict-resolution;odoo-wins,"Implement reconciliation logic so that for synced fields, Odoo overrides conflicting Azure Boards values.","Conflicting test updates resolve back to Odoo values on the next sync."
