Work Item Type,Title,Parent,Description,Acceptance Criteria,Tags
Epic,"Odoo on Azure — Release Quality, Testing, and UAT Readiness",,"End-to-end release quality, automated testing, UAT execution, and go-live readiness track for Odoo 18 CE on Azure Container Apps. Covers governance, validation, integration testing, non-functional readiness, UAT scenarios, formal sign-off, cutover, and staging parity.","All 8 child issues closed with evidence artifacts in docs/evidence/. Go/no-go gate passed. Production smoke green.","odoo-on-azure,release-quality"
Issue,"Release quality governance for Odoo on Azure","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Define severity/priority matrix, blocker policy, sign-off owners, go/no-go rules, and risk acceptance format for the Odoo-on-Azure release.","Specific: Severity/priority matrix (S1-S4 x P1-P4) documented and approved by product owner.
Measurable: 100% of release roles (sign-off owners, blocker arbitrator, risk acceptor) assigned by name.
Achievable: Matrix and policy derived from existing IPAI governance templates.
Relevant: Directly gates go/no-go decision — no release without this artifact.
Time-bound: Completed within 3 business days of issue creation.","release-quality,go-live"
Task,"Draft severity/priority matrix (S1-S4 x P1-P4)","Release quality governance for Odoo on Azure","Create the 4x4 severity/priority classification grid with clear definitions and examples for each cell.","Matrix document exists at docs/governance/severity-priority-matrix.md with all 16 cells defined.","release-quality,go-live"
Task,"Define blocker policy and escalation path","Release quality governance for Odoo on Azure","Document what constitutes a release blocker, who can declare one, and the escalation/resolution SLA.","Blocker policy published with named escalation contacts and SLA per severity level.","release-quality,go-live"
Task,"Assign sign-off owners per tower","Release quality governance for Odoo on Azure","Map each functional tower (Finance, HR, Sales, Inventory, etc.) to a named sign-off owner.","Sign-off roster with tower, owner name, and backup documented.","release-quality,go-live"
Task,"Define go/no-go decision rules","Release quality governance for Odoo on Azure","Create the go/no-go checklist with mandatory pass criteria and acceptable risk thresholds.","Go/no-go checklist with pass/fail criteria and quorum rules published.","release-quality,go-live"
Task,"Create risk acceptance format and log template","Release quality governance for Odoo on Azure","Design a risk acceptance form (risk ID, description, impact, mitigation, acceptor, expiry).","Risk acceptance template and empty log created at docs/governance/risk-acceptance-log.md.","release-quality,go-live"
Issue,"Automated validation baseline for release candidates","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Establish static/contract validation, unit/module tests, staging smoke pack, regression subset, and evidence output format for automated release candidate validation.","Specific: CI pipeline runs static analysis, contract tests, unit tests, smoke tests, and regression subset on every RC tag.
Measurable: >= 90% module test pass rate; 100% smoke tests green; evidence artifacts auto-generated per run.
Achievable: Builds on existing repo_health.sh, spec_validate.sh, and ci_local.sh scripts.
Relevant: Prevents regressions from reaching staging or production.
Time-bound: Pipeline operational within 5 business days of issue creation.","testing,release-quality"
Task,"Configure static analysis gates (linting, manifest validation)","Automated validation baseline for release candidates","Add pre-commit and CI steps for flake8, pylint-odoo, and manifest schema validation on all ipai_* modules.","CI rejects PRs with lint errors; manifest validation covers all addons/.","testing,release-quality"
Task,"Build unit/module test suite baseline","Automated validation baseline for release candidates","Identify and document minimum test coverage per module; ensure all existing tests run in CI.","Test inventory document lists modules, test count, and current pass rate.","testing,release-quality"
Task,"Create staging smoke test pack","Automated validation baseline for release candidates","Write smoke tests that validate login, menu loading, key workflows (sale order, invoice, inventory move) on staging.","Smoke pack runs end-to-end in < 10 minutes; results logged to docs/evidence/.","testing,release-quality"
Task,"Define regression subset and rotation policy","Automated validation baseline for release candidates","Select critical-path regression tests to run on every RC; rotate full suite weekly.","Regression subset documented; CI config references subset by default and full suite on schedule.","testing,release-quality"
Task,"Standardize evidence output format","Automated validation baseline for release candidates","Define JSON/Markdown evidence schema: timestamp, test name, result, duration, artifact path.","Evidence schema documented; all test runners output conforming artifacts.","testing,release-quality"
Issue,"Integration and data readiness for Odoo on Azure","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Cross-module handoff testing, UAT data pack creation, migration rehearsal, reconciliation report, and data defect tracking for Odoo-on-Azure integration readiness.","Specific: Cross-module integration tests cover all inter-tower handoffs (e.g., SO to invoice, PO to inventory).
Measurable: UAT data pack contains >= 50 representative records per module; migration rehearsal completed with < 0.1% data loss.
Achievable: Uses existing demo data plus anonymized production samples.
Relevant: Data and integration failures are top go-live risks.
Time-bound: Data pack and first migration rehearsal complete within 7 business days.","testing,uat"
