Work Item Type,Title,Parent,Area Path,Iteration Path,Tags,Business Value,Time Criticality,Description,Acceptance Criteria
Epic,Governance & Drift Remediation,,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",10,10,"IaC reconciliation, deprecated artifact cleanup, cost visibility. Maps to R2, R10, R13, N1, N2, N6.",All live Azure resources tracked in IaC or registered as justified exceptions; cost visibility active; deprecated configs archived
Epic,Production Readiness & Resilience,,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,pre-prod",10,9,"Backup/restore, environment parity, SLOs, go-live gate. Maps to R1, R6, R7, R12, N8, P1-P3, P9.",Staging deployed; backup restore tested; SLOs defined; single go-live gate
Epic,Security & Network Hardening,,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",10,10,"Identity (Entra OIDC + MFA), private endpoints, NSGs, CodeQL. Maps to R3, R4, R9, N3, N4, N7, P5, P8.",MFA enforced; Odoo SSO via Entra; private endpoints for PG + KV; CodeQL active
Epic,Observability & Operations,,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",9,9,"Alert routing verification, operational response ownership, runbooks. Maps to R7, R12.",Alert routing verified; runbooks for top 5 failure scenarios
Epic,AI Platform Readiness,,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",8,7,"KB seeding, eval gate, prompt injection, API key migration. Maps to R5, R11, R14, N5, P4, P6, P7.",KB indexed; eval gate active; prompt injection blocked; API key in Key Vault
Epic,Platform Productization & Scale,,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",5,3,"Multi-region, SaaS isolation, Defender, FinOps, DORA. Maps to L1-L6.",Deferred until single-tenant production is stable
Feature,Reconcile IaC with Live Azure State,Governance & Drift Remediation,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,hard-blocker",10,10,"N1/R2: 20+ portal-deployed resources not tracked in Bicep. Primary governance risk.",az deployment what-if shows zero drift; all resources in Bicep or registered exceptions
Feature,Enable Azure Cost Management,Governance & Drift Remediation,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",8,8,"N2/R10: No visibility into monthly Azure spend across 22 ACA apps + AI services.",Cost export active; $500/month budget alert configured
Feature,Archive Deprecated Infrastructure Configs,Governance & Drift Remediation,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",6,7,"N6/R13: Repo contains DigitalOcean, Supabase, Mailgun configs that confuse automation.",infra/ contains only active Azure configs
Feature,Set PostgreSQL Backup Retention in Bicep,Production Readiness & Resilience,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",9,9,"N8/R6: Backup policy planned but not in IaC.",backupRetentionDays: 30 in Bicep; deployed and verified
Feature,Deploy Staging Environment,Production Readiness & Resilience,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod,hard-blocker",10,8,"P1/R1: All workloads named *-dev with no staging/prod distinction.",Staging ACA + PG running; health check green
