name,display_name,version,origin,installable,application,auto_install,category,author,license,has_tests,depends,path,oca_repo
cts_theme_rozz,Theme Rozz,19.0.1.0.0,ipai,True,False,False,Theme/corporate,Cybrosys Techno Solutions,LGPL-3,False,"website_blog,website_sale_wishlist,website_sale_comparison",addons/ipai/cts_theme_rozz,
ipai_account_settings_compat,IPAI Account Settings Compat,19.0.1.0.0,ipai,True,False,False,Accounting,InsightPulse AI,AGPL-3,False,account,addons/ipai/ipai_account_settings_compat,
ipai_agent,IPAI Agent Runtime,19.0.1.0.0,ipai,True,False,False,Technical,InsightPulse AI,LGPL-3,True,"mail,hr_expense,ipai_hr_expense_liquidation",addons/ipai/ipai_agent,
ipai_agent_skills,IPAI Agent Skills,19.0.1.0.0,ipai,True,False,False,Productivity/AI,InsightPulse AI,LGPL-3,True,"base,mail",addons/ipai/ipai_agent_skills,
ipai_ai_agent_builder,DEPRECATED: AI Agent Builder,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,mail,addons/ipai/ipai_ai_agent_builder,
ipai_ai_agents_ui,IPAI AI Agents UI (React + Fluent),19.0.1.0.0,ipai,False,False,False,Productivity/AI,InsightPulse AI,LGPL-3,True,"web,ipai_ai_core",addons/ipai/ipai_ai_agents_ui,
ipai_ai_automations,DEPRECATED: AI Automations,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,"ipai_ai_agent_builder,base_automation",addons/ipai/ipai_ai_automations,
ipai_ai_copilot,IPAI AI Copilot,19.0.1.0.0,ipai,True,False,False,Productivity,InsightPulse AI,LGPL-3,False,"mail,web,base,ipai_ai_widget",addons/ipai/ipai_ai_copilot,
ipai_ai_core,IPAI AI Core,19.0.1.0.0,ipai,True,False,False,Productivity/AI,InsightPulse AI,LGPL-3,True,"base,mail",addons/ipai/ipai_ai_core,
ipai_ai_fields,DEPRECATED: AI Fields,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,ipai_ai_agent_builder,addons/ipai/ipai_ai_fields,
ipai_ai_livechat,DEPRECATED: AI Livechat,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,"ipai_ai_agent_builder,im_livechat",addons/ipai/ipai_ai_livechat,
ipai_ai_platform,IPAI AI Platform,19.0.1.0.0,ipai,True,False,False,Technical,InsightPulseAI,LGPL-3,False,base,addons/ipai/ipai_ai_platform,
ipai_ai_rag,DEPRECATED: AI RAG Pipeline,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,ipai_ai_agent_builder,addons/ipai/ipai_ai_rag,
ipai_ai_tools,DEPRECATED: AI Tool Registry,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,ipai_ai_agent_builder,addons/ipai/ipai_ai_tools,
ipai_ai_widget,IPAI AI Widget,19.0.2.0.0,ipai,True,False,False,Technical,InsightPulse AI,LGPL-3,True,"mail,web",addons/ipai/ipai_ai_widget,
ipai_ask_ai,IPAI Ask AI,1.0.0,ipai,True,False,False,Productivity/AI,InsightPulse AI,AGPL-3,False,"base,web,mail",addons/ipai_ask_ai,
ipai_ask_ai_azure,IPAI Ask AI (Azure OpenAI),19.0.1.0.0,ipai,True,False,False,Technical,InsightPulse AI,LGPL-3,False,"web,mail",addons/ipai/ipai_ask_ai_azure,
ipai_ask_ai_chatter,IPAI Ask AI Chatter (Headless),18.0.1.1.0,ipai,True,False,False,Productivity/AI,InsightPulse AI,LGPL-3,False,"base,mail",addons/ipai_ask_ai_chatter,
ipai_auth_oidc,IPAI Auth OIDC + MFA,19.0.1.0.0,ipai,True,False,False,Authentication,InsightPulse AI,LGPL-3,False,"base,auth_totp",addons/ipai/ipai_auth_oidc,
ipai_bir_data,IPAI BIR Data Templates,18.0.1.0.0,ipai,True,False,False,Project,,LGPL-3,False,project,addons/ipai_bir_data,
ipai_bir_notifications,IPAI BIR Notifications,19.0.1.0.0,ipai,False,False,False,Accounting/Localizations,InsightPulseAI,AGPL-3,False,"base,mail,ipai_bir_tax_compliance",addons/ipai/ipai_bir_notifications,
ipai_bir_plane_sync,IPAI BIR Plane Sync,19.0.1.0.0,ipai,False,False,False,Accounting/Localizations,InsightPulseAI,AGPL-3,False,"base,ipai_bir_tax_compliance",addons/ipai/ipai_bir_plane_sync,
ipai_bir_tax_compliance,IPAI BIR Tax Compliance,19.0.1.0.0,ipai,True,False,False,Accounting/Localizations,InsightPulse AI,LGPL-3,True,"base,account",addons/ipai/ipai_bir_tax_compliance,
ipai_chatgpt_sdk_theme,DEPRECATED: IPAI ChatGPT App SDK Theme,19.0.1.0.0,ipai,False,False,False,Themes,InsightPulse AI,AGPL-3,False,"web,website",addons/ipai/ipai_chatgpt_sdk_theme,
ipai_company_scope_omc,IPAI Company Scope — OMC,19.0.1.0.0,ipai,True,False,False,Hidden,InsightPulse AI,LGPL-3,True,base,addons/ipai/ipai_company_scope_omc,
ipai_copilot_ui,DEPRECATED: IPAI Copilot UI,19.0.1.0.0,ipai,False,True,False,Themes/Backend,InsightPulse AI,LGPL-3,False,web,addons/ipai/ipai_copilot_ui,
ipai_crm_pipeline,IPAI CRM - Pipeline Clone,18.0.1.0.0,ipai,True,False,False,Sales/CRM,IPAI,LGPL-3,False,"crm,mail,ipai_platform_workflow,ipai_platform_theme",addons/ipai_crm_pipeline,
ipai_design_system,IPAI Design System,19.0.1.0.0,ipai,False,False,False,Hidden/Tools,InsightPulse AI,LGPL-3,False,web,addons/ipai/ipai_design_system,
ipai_design_system_apps_sdk,IPAI Design System (SSOT),19.0.1.0.0,ipai,True,False,False,Theme/Backend,InsightPulse AI,LGPL-3,False,web,addons/ipai/ipai_design_system_apps_sdk,
ipai_doc_ocr_bridge,IPAI Doc OCR Bridge,19.0.1.0.0,ipai,True,False,False,Uncategorized,,,False,"account,queue_job",addons/ipai_doc_ocr_bridge,
ipai_docflow_review,IPAI DocFlow Manual Review (Odoo 18),19.0.1.0.0,ipai,True,False,False,Accounting,,LGPL-3,False,"base,mail,account,hr_expense",addons/ipai_docflow_review,
ipai_documents_ai,DEPRECATED: Documents AI,19.0.1.0.0,ipai,False,False,False,InsightPulse AI,InsightPulse AI,LGPL-3,False,mail,addons/ipai/ipai_documents_ai,
